short_name,long_name,extra_content,script_type,correct_answer,reason,subtag,rules_blind,rules_full,ngram_word,ngram_char,sel_correct_answer,sel_rules_blind,sel_rules_full,sel_ngram_word,sel_ngram_char,sel_correct_rules_blind,sel_correct_rules_full,sel_correct_ngram_word,sel_correct_ngram_char,only_rules_correct,only_ngram_correct
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,Extra content is a confirmed geographic location name,descriptor,disambiguation,disambiguation,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,Extra content is a confirmed geographic location name,descriptor,disambiguation,disambiguation,disambiguation,noise,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,location,location,location,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Atm,ATM (Post Office),post office,latin,disambiguation,Extra content is service description or contextual elaboration,parenthetical,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Marathon Gas,Marathon Gas & DQ,dq,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,disambiguation,disambiguation,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,latin,location,Location pattern matched (US state abbrev),descriptor,location,location,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Raising Cane's,Raising Cane's Chicken Fingers,chicken fingers,latin,business_type,Food specialty — describes what the restaurant serves,descriptor,location,location,disambiguation,disambiguation,keep_longer,keep_shorter,keep_shorter,keep_shorter,keep_shorter,0,0,0,0,0,0
La Azotea,La Azotea Terraza,terraza,latin,business_type,Terraza = rooftop terrace/bar — venue type,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,latin,disambiguation,Slash/pipe delimiter — parallel brand or franchise name,descriptor,disambiguation,disambiguation,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Hospital São Domingos,Hospital São Domingos- Exames,exames,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Parc Clichy-Batignolles,Parc Clichy-Batignolles Martin Luther King,martin luther king,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Canal Video,Canal Vidéo Laryan 82 Franchisé indépendant,laryan 82 franchise independant,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,disambiguation,disambiguation,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Calico Jacks,Calico Jack's Bistro,bistro,latin,business_type,Extra content contains business-type word(s): bistro,descriptor,business_type,business_type,disambiguation,disambiguation,keep_longer,keep_longer,keep_longer,keep_shorter,keep_shorter,1,1,0,0,1,0
Over The Rainbow,Over the Rainbow Limited,limited,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,noise,noise,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Colourfence Garden Fencing,ColourFence Garden Fencing - Isle Of Wight,isle of wight,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,location,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Leonora Rose,Leonora Rose Florists,florists,latin,business_type,Florists describes what the business IS,descriptor,location,business_type,disambiguation,location,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Service Neon,Service Neon di Cateni Riccardo,di cateni riccardo,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Wing Sing,Wing Sing Bar,bar,latin,business_type,Extra content contains business-type word(s): bar,descriptor,business_type,business_type,disambiguation,disambiguation,keep_longer,keep_longer,keep_longer,keep_shorter,keep_shorter,1,1,0,0,1,0
Spectron Desarrollo,Spectron Desarrollo S.C.,sc,latin,noise,Mexican legal form (S.C. = Sociedad Civil) — legal suffix noise,descriptor,disambiguation,disambiguation,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Charleston Civic Center,Charleston Civic Center Ice Arena,ice arena,latin,business_type,"Ice arena is a facility type — same category as Gym, Studio",descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Hotel Olimpia,Hotel Olimpia  Silvi Marina TE,silvi marina te,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Murphy USA,Murphy USA #6583,6583,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,disambiguation,disambiguation,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Home Instead,Home Instead Senior Care,senior care,latin,business_type,Senior care describes the service the business provides,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Forst und Garten,Forst und Garten Diehl,diehl,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
The Flying Locksmiths,The Flying Locksmiths - Los Angeles West,los angeles west,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Lonches Amparito,Lonches Amparito Tránsito,transito,latin,location,Extra content is a confirmed geographic location name,descriptor,disambiguation,disambiguation,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
En-spire Nutrition,En-spire Nutrition Centennial,centennial,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Auto Stark,Auto Stark Acessórios Automotivo,acessorios automotivo,latin,business_type,Auto accessories — describes what the store sells,descriptor,disambiguation,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Kyle Citty,"Kyle Citty, M.D.",md,latin,noise,"Professional credential (M.D.) appended — listing noise, not location",descriptor,noise,noise,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Työväen Akatemia,Työväen Akatemian kirjasto,n kirjasto,latin,business_type,Kirjasto = library (Finnish) — facility type,descriptor,disambiguation,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Craig Bagley,Craig Bagley - State Farm Insurance Agent,state farm insurance agent,latin,business_type,"Extra content contains business-type word(s): agent, insurance",descriptor,business_type,business_type,disambiguation,disambiguation,keep_longer,keep_longer,keep_longer,keep_shorter,keep_shorter,1,1,0,0,1,0
Andy Allain - Thrivent,Andy Allain - Thrivent Financial,financial,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Tractor Supply,Tractor Supply Co.,co,latin,noise,Co. = Company abbreviation — standard legal suffix noise,descriptor,disambiguation,disambiguation,noise,noise,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Mary Print,Mary Print Sardegna,sardegna,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Cella Café,Cella Café Bar & Restaurant,bar restaurant,latin,business_type,"Extra content contains business-type word(s): bar, restaurant",descriptor,business_type,business_type,business_type,business_type,keep_longer,keep_longer,keep_longer,keep_longer,keep_longer,1,1,1,1,0,0
Floripa Sucos,Floripa Sucos e Lanches,e lanches,latin,business_type,Lanches = snacks/light meals — food business type,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Green Leaf's,Green Leaf's Beyond Great Salads,beyond great salads,latin,noise,Marketing tagline — not a meaningful business descriptor,descriptor,location,location,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Wayne Cooley - COUNTRY Financial,Wayne Cooley - COUNTRY Financial representative,representative,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,disambiguation,disambiguation,disambiguation,business_type,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_longer,1,1,1,0,0,0
Code Ninjas,Code Ninjas Virginia Beach,virginia beach,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,business_type,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_longer,1,1,1,0,0,0
Barnegat Bay Financial Group,Barnegat Bay Financial Group - Raymond James Office,raymond james office,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
West Herr Cadillac,West Herr Cadillac of East Aurora,of east aurora,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,location,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Academia Performance,Academia Performance & Saúde,saude,latin,business_type,Saúde = health — describes the business category (health/wellness),descriptor,disambiguation,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
American Printing,American Printing Unlimited,unlimited,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,noise,noise,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Batteries Plus,Batteries Plus Bulbs,bulbs,latin,business_type,Bulbs = product sold — describes what Batteries Plus sells,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Marine Corps Exchange,Marine Corps Exchange (MCX),mcx,latin,disambiguation,Acronym/initialism in parentheses,parenthetical,noise,noise,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Dias Park,Dias Park Estacionamento,estacionamento,latin,business_type,Estacionamento = parking lot — facility type,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Results Physiotherapy,"Results Physiotherapy Nashville, Tennessee - West",nashville tennessee west,latin,location,Location pattern matched (place-name suffix),descriptor,location,location,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Momo and Co.,Momo and Co. Design,design,latin,business_type,Design studio/service — describes the business category,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
The Vineyard Church,The Vineyard Church Bloomington-Normal,bloomingtonnormal,latin,location,Extra content is a confirmed geographic location name,descriptor,disambiguation,disambiguation,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Full Steam,Full Steam Tromso,tromso,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Poorvika Mobiles,Poorvika Mobiles Cuddalore - Opp to Bus Stand,cuddalore opp to bus stand,latin,noise,Informal address direction — listing noise,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Industria Pizzeria,Industria Pizzeria + Bar,bar,latin,business_type,Extra content contains business-type word(s): bar,descriptor,business_type,business_type,disambiguation,disambiguation,keep_longer,keep_longer,keep_longer,keep_shorter,keep_shorter,1,1,0,0,1,0
Black Mamba Barber Shop & Tatto,Black Mamba Barbershop & Tattoo | Nezahualcóyotl,black mamba barbershop tattoo nezahualcoyotl,latin,business_type,Extra content contains business-type word(s): barbershop,descriptor,business_type,business_type,disambiguation,location,keep_longer,keep_longer,keep_longer,keep_shorter,keep_shorter,1,1,0,0,1,0
Good Morning Children,Good Morning Children Limited,limited,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,noise,noise,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Kip McGrath,Kip McGrath Hammersmith,hammersmith,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Volker Rentel GmbH,Volker Rentel GmbH Heizung- und Sanitärtechnik,heizung und sanitartechnik,latin,business_type,Extra content contains business-type word(s): heizung,descriptor,business_type,business_type,disambiguation,disambiguation,keep_longer,keep_longer,keep_longer,keep_shorter,keep_shorter,1,1,0,0,1,0
Hanger Clinic,Hanger Clinic: Prosthetics & Orthotics,prosthetics orthotics,latin,business_type,"Extra content contains business-type word(s): orthotics, prosthetics",descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Esfiha Chic,Esfiha Chic - Vila Arcádia,vila arcadia,latin,location,Extra content is a confirmed geographic location name,descriptor,disambiguation,disambiguation,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Cerrajeria Lionel,Cerrajería Lionel Centrito,centrito,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
The Fairways at San Marcos,The Fairways at San Marcos Apartments,apartments,latin,business_type,"Apartments describes the property type — same as Hotel, Suites",descriptor,location,business_type,business_type,business_type,keep_longer,keep_shorter,keep_longer,keep_longer,keep_longer,0,1,1,1,0,1
UBS Vila Elvira,UBS Vila Elvira - São José Do Rio Preto,sao jose do rio preto,latin,location,Extra content is a confirmed geographic location name,descriptor,disambiguation,disambiguation,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Elite Picture Framing,Elite Picture Framing Adelaide,adelaide,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Aldak GmbH,ALDAK GmbH VIBRATIONSTECHNIK,vibrationstechnik,latin,business_type,Vibration technology — industrial/engineering specialty,descriptor,disambiguation,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Centro Comunitário,Centro Comunitario Taiaçu,taiacu,latin,location,Extra content is a confirmed geographic location name,descriptor,disambiguation,disambiguation,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Dercole Pneumatici,Dercole Pneumatici Autofficina Castrol Service,autofficina castrol service,latin,business_type,Autofficina = auto repair shop (Italian) — business type,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Hollyhock Hill,Hollyhock Hill Restaurant,restaurant,latin,business_type,Extra content contains business-type word(s): restaurant,descriptor,business_type,business_type,business_type,business_type,keep_longer,keep_longer,keep_longer,keep_longer,keep_longer,1,1,1,1,0,0
Management Factory Corporate Advisory GmbH,Management Factory Corporate Advisory GmbH - Valtus,valtus,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,location,location,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Princeton Radiology,Princeton Radiology - Monroe,monroe,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Carquest Auto Parts,Carquest Auto Parts - Jerry's Auto Parts,jerrys auto parts,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Tempe Veterinary,Tempe Veterinary Hospital,hospital,latin,business_type,Extra content contains business-type word(s): hospital,descriptor,business_type,business_type,disambiguation,business_type,keep_longer,keep_longer,keep_longer,keep_shorter,keep_longer,1,1,0,1,1,0
Atm,ATM (Post Office),post office,latin,disambiguation,Extra content is service description or contextual elaboration,parenthetical,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Brooklyn Basketball Academy,Brooklyn Basketball Academy (BBA),bba,latin,disambiguation,Acronym/initialism in parentheses,parenthetical,noise,noise,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Master Mechanic,Master Mechanic Pickering,pickering,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Boost Mobile,Boost Mobile Local Moline,local moline,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Cookie Cutters Haircuts for Kids,Cookie Cutters Haircuts for Kids - Beverly Hills,beverly hills,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,location,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Mail Boxes ETC.,Mail Boxes Etc. UK,uk,latin,location,Location pattern matched (country),descriptor,disambiguation,disambiguation,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Learn And Play Montessori School,Learn and Play Montessori School - Peralta,peralta,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,business_type,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_longer,1,1,1,0,0,0
Liceo Scientifico Isacco Newton,Liceo Scientifico Isacco Newton (succursale),succursale,latin,disambiguation,Operational note or branch type in parentheses,parenthetical,disambiguation,disambiguation,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Prestige de Menton,Prestige de Menton - Eau de Menton,eau de menton,latin,location,Location pattern matched (place-name suffix),descriptor,location,location,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
ImmoWert Hessen,ImmoWert Hessen Carsten Nessler Sachverständige für Immobilien,carsten nessler sachverstandige fur immobilien,latin,business_type,"Extra content contains business-type word(s): immobilien, sachverstandige",descriptor,business_type,business_type,disambiguation,disambiguation,keep_longer,keep_longer,keep_longer,keep_shorter,keep_shorter,1,1,0,0,1,0
United Promotions Inc,United Promotions Inc. Photo Lab,photo lab,latin,business_type,Photo lab is a service type,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
The Home Depot,The Home Depot México,mexico,latin,location,Extra content is a confirmed geographic location name,descriptor,disambiguation,disambiguation,location,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
APEC Hospital de la Ceguera,Apec Hospital De La Ceguera Azcapotzalco,azcapotzalco,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,noise,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Smartphone Solutions,Smartphone Solutions Sunbury,sunbury,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Vitality Integrated Programs,Vitality Integrated Programs (VIP),vip,latin,disambiguation,Acronym/initialism in parentheses,parenthetical,noise,noise,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
See's Candies,See's Candies Chocolate Shop,chocolate shop,latin,business_type,Extra content contains business-type word(s): shop,descriptor,business_type,business_type,business_type,disambiguation,keep_longer,keep_longer,keep_longer,keep_longer,keep_shorter,1,1,1,0,0,0
Bad & Meer,Bad & Meer Fachmarkt für Heizung & Sanitär,fachmarkt fur heizung sanitar,latin,business_type,"Extra content contains business-type word(s): fachmarkt, heizung, sanitar",descriptor,business_type,business_type,disambiguation,disambiguation,keep_longer,keep_longer,keep_longer,keep_shorter,keep_shorter,1,1,0,0,1,0
Royce Rolls,Royce Rolls Cafe,cafe,latin,business_type,Extra content contains business-type word(s): cafe,descriptor,business_type,business_type,business_type,business_type,keep_longer,keep_longer,keep_longer,keep_longer,keep_longer,1,1,1,1,0,0
Waterbury Career Academy,Waterbury Career Academy High School,high school,latin,business_type,Extra content contains business-type word(s): school,descriptor,business_type,business_type,disambiguation,disambiguation,keep_longer,keep_longer,keep_longer,keep_shorter,keep_shorter,1,1,0,0,1,0
Village Medical,Village Medical at Walgreens,at walgreens,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,location,location,location,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Remington Heights,Remington Heights Retirement Community,retirement community,latin,business_type,Retirement community is a residential facility type,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
