short_name,long_name,extra_content,correct_answer,pred_Mistral-7B,pred_Llama-3.1-8B,pred_Qwen-2.5-7B,pred_Qwen-2.5-14B,ensemble_vote,max_agreement
De Giovannini,De Giovannini Secondo di Cozzi Pier Secondo,secondo di cozzi pier secondo,disambiguation,disambiguation,disambiguation,disambiguation,disambiguation,disambiguation,4
El Dorado Hills Sports Club,El Dorado Hills Sports Club and Spa,and spa,business_type,business_type,business_type,business_type,business_type,business_type,4
Extended Stay America,Extended Stay America Los Angeles / Arcadia,los angeles arcadia,location,location,disambiguation,location,location,location,3
Oh My Goodness,Oh My Goodness OMG,omg,disambiguation,noise,noise,noise,noise,noise,4
Miracle Mile Shops,Miracle Mile Shops At Planet Hollywood,at planet hollywood,location,disambiguation,disambiguation,disambiguation,location,disambiguation,3
Blue Rhino,Blue Rhino Propane Exchange,propane exchange,business_type,business_type,business_type,business_type,business_type,business_type,4
Heartland Mortgage Inc - Bobbie Jo Haggard,"Heartland Mortgage Inc. / Bobbie Jo Haggard, NMLS 92472",nmls 92472,noise,noise,noise,noise,noise,noise,4
Hotel Farol,Hotel Farol - Mosqueiro,mosqueiro,location,location,location,location,location,location,4
AdventHealth Medical Group Primary Care,AdventHealth Medical Group Primary Care at Brandon,at brandon,location,location,disambiguation,location,location,location,3
Eat Happy,Eat Happy Sushi & asiatische Spezialitäten,sushi asiatische spezialitaten,business_type,business_type,business_type,business_type,business_type,business_type,4
Wohnungsauflösungen Schenk,Wohnungsauflösungen Schenk Ankauf und Verkauf,ankauf und verkauf,business_type,disambiguation,business_type,business_type,business_type,business_type,3
