short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""colony way madison ms"" includes a street name, city, and state, which are typical location qualifiers that help identify the specific branch or franchise of Schlotzsky's.",1
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"The extra content ""rockingham"" is a specific location name that identifies which branch or affiliate of West Coast Hi-Fi this refers to, making it a geographic qualifier.",1
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"The extra content ""queretaro"" is a location name, specifically identifying which Vape Haus store this refers to in Queretaro, Mexico.",1
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,disambiguation,disambiguation,high,"The extra content ""facog"" represents a professional credential (Fellow of the American College of Obstetricians and Gynecologists), which, while providing additional information about Allison Hunt's qualifications, does not change the core nature of her being a medical doctor.",1
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"The extra content ""torreon"" is a specific location identifier, which typically disambiguates between different branches or locations of the same business name. This falls under the category of location.",1
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,noise,medium,"The extra content ""jb"" is likely a reference or identifier (possibly initials) that does not add significant semantic value, such as describing what the place is, its location, or who owns it. It's boilerplate information often used for organizational purposes but lacks descriptive meaning.",0
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,location,high,"The extra content ""p penasco"" is a geographic qualifier specifying the location of this flower shop, which is typical of disambiguating information.",1
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,disambiguation,high,"The extra content ""at bourbon brothers"" indicates that Boot Barn Hall is associated with or part of Bourbon Brothers, which serves as a disambiguation identifier rather than specifying the nature of the business or location.",1
Atm,ATM (Post Office),post office,latin,disambiguation,disambiguation,high,"The extra content ""post office"" identifies a specific type of service or location that the ATM is associated with, acting as a disambiguation factor to specify which kind of ATM it is (one located in a Post Office).",1
Marathon Gas,Marathon Gas & DQ,dq,latin,disambiguation,disambiguation,high,"The extra content ""dq"" refers to a specific brand or franchise partner, which is a disambiguating identifier rather than describing what kind of place Marathon Gas is or specifying its location.",1
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,latin,location,location,high,"The extra content ""manassas va"" provides a specific location (city and state) that disambiguates which Planet Fitness this refers to, making it a geographic qualifier.",1
Raising Cane's,Raising Cane's Chicken Fingers,chicken fingers,latin,business_type,business_type,high,"The extra content ""chicken fingers"" describes what kind of restaurant Raising Cane's is, providing essential information about its primary offerings.",1
La Azotea,La Azotea Terraza,terraza,latin,business_type,location,medium,"The extra content ""terraza"" translates to ""terrace,"" which is a type of location or feature name. However, in this context, it does not specify a place but rather describes what part of La Azotea it might be, making it more about the nature of the space than a specific geographic or business classification.",0
bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,latin,disambiguation,business_type,high,"The extra content ""webentwicklung & itinfrastruktur"" describes the services provided by bergwerk IT GmbH, which is a business type that provides information about what kind of place this is.",0
Hospital São Domingos,Hospital São Domingos- Exames,exames,latin,disambiguation,disambiguation,high,"The extra content ""exames"" indicates that this is a specific service provided by Hospital São Domingos, which disambiguates between different types of services offered at the hospital without describing what the place itself is.",1
Parc Clichy-Batignolles,Parc Clichy-Batignolles Martin Luther King,martin luther king,latin,location,disambiguation,high,"The extra content ""martin luther king"" does not describe a business type or location, but rather specifies an additional name associated with this park, likely referring to a feature or dedication within the park.",0
Canal Video,Canal Vidéo Laryan 82 Franchisé indépendant,laryan 82 franchise independant,latin,disambiguation,disambiguation,high,"The extra content ""laryan 82 franchise independant"" identifies a specific branch or ownership status of Canal Vidéo, which is not a business type or location but rather provides disambiguation about the independent franchise.",1
Calico Jacks,Calico Jack's Bistro,bistro,latin,business_type,business_type,high,"The extra content ""bistro"" describes what kind of establishment Calico Jack's is, making it a business type that adds essential information about the place.",1
Over The Rainbow,Over the Rainbow Limited,limited,latin,disambiguation,business_type,high,"The extra content ""limited"" indicates that Over the Rainbow is a business entity type, specifically a company or corporation. This provides information about what kind of organization it is.",0
Colourfence Garden Fencing,ColourFence Garden Fencing - Isle Of Wight,isle of wight,latin,location,location,high,"The extra content ""isle of wight"" is a geographic location qualifier that specifies which branch or area the business operates in, thus it falls under the classification of location.",1
Leonora Rose,Leonora Rose Florists,florists,latin,business_type,business_type,high,"The extra content ""florists"" describes what kind of business Leonora Rose is, making it a clear business type.",1
Service Neon,Service Neon di Cateni Riccardo,di cateni riccardo,latin,disambiguation,disambiguation,high,"The extra content ""di cateni riccardo"" identifies a specific individual or organization (Cateni Riccardo) that disambiguates which Service Neon it is, but does not describe what kind of business it is or specify a geographic location.",1
Wing Sing,Wing Sing Bar,bar,latin,business_type,business_type,high,"The extra content ""bar"" directly describes what kind of establishment Wing Sing is, making it a clear business type that provides essential information about the nature of the place.",1
Spectron Desarrollo,Spectron Desarrollo S.C.,sc,latin,noise,noise,high,"The extra content ""sc"" is a legal ownership notation indicating that Spectron Desarrollo is a specific type of Mexican corporation, which provides additional context but does not change the core nature of what the business is.",1
Charleston Civic Center,Charleston Civic Center Ice Arena,ice arena,latin,business_type,business_type,high,"The extra content ""ice arena"" describes a specific facility or type of venue within the Charleston Civic Center, indicating what kind of place this is.",1
Hotel Olimpia,Hotel Olimpia  Silvi Marina TE,silvi marina te,latin,location,disambiguation,medium,"The extra content ""silvi marina te"" appears to be a location or identifier, but it does not follow common conventions for place names. It is more likely a specific branch or a code rather than a standard geographic qualifier.",0
Murphy USA,Murphy USA #6583,6583,latin,disambiguation,disambiguation,medium,"The extra content ""6583"" appears to be a location identifier or franchise number, which provides additional context but does not change the fundamental nature of what Murphy USA is—a business name.",1
Home Instead,Home Instead Senior Care,senior care,latin,business_type,disambiguation,high,"The extra content ""senior care"" identifies a specific service provided by Home Instead without describing what kind of business it is or specifying a geographic location. This disambiguates which aspect of Home Instead's services is being referred to.",0
Forst und Garten,Forst und Garten Diehl,diehl,latin,disambiguation,disambiguation,high,"The extra content ""diehl"" appears to be a suffix or identifier that disambiguates which specific branch or affiliate of Forst und Garten is being referred to. This is not describing what kind of place it is, nor is it specifying a geographic location.",1
The Flying Locksmiths,The Flying Locksmiths - Los Angeles West,los angeles west,latin,location,location,high,"The extra content ""los angeles west"" is a geographic qualifier that helps to specify which branch or location of The Flying Locksmiths is being referred to.",1
Lonches Amparito,Lonches Amparito Tránsito,transito,latin,location,disambiguation,high,"The extra content ""transito"" identifies a specific location or branch of Lonches Amparito, which is typical disambiguating information.",0
En-spire Nutrition,En-spire Nutrition Centennial,centennial,latin,location,location,high,"The extra content ""centennial"" is a geographic or location qualifier, typically used to specify a particular branch or division of a business based on its location.",1
Auto Stark,Auto Stark Acessórios Automotivo,acessorios automotivo,latin,business_type,business_type,high,"The extra content ""acessorios automotivo"" describes what kind of place this is by specifying the type of business, indicating that Auto Stark deals in automotive accessories.",1
Kyle Citty,"Kyle Citty, M.D.",md,latin,noise,noise,high,"The extra content ""md"" is a professional credential appended to a personal name, which provides additional information about Kyle Citty's profession but does not describe the kind of business or location.",1
Työväen Akatemia,Työväen Akatemian kirjasto,n kirjasto,latin,business_type,disambiguation,high,"The extra content ""n kirjasto"" translates to ""library,"" which indicates that this is a specific branch or type of facility within Työväen Akatemia, but it does not describe what kind of place Työväen Akatemia itself is. It's more about identifying a particular service or department.",0
Craig Bagley,Craig Bagley - State Farm Insurance Agent,state farm insurance agent,latin,business_type,disambiguation,high,"The extra content ""state farm insurance agent"" identifies a specific type of professional service and affiliation, which is not describing what kind of place this is or specifying a location, but rather identifying Craig Bagley's role.",0
Andy Allain - Thrivent,Andy Allain - Thrivent Financial,financial,latin,disambiguation,disambiguation,high,"The extra content ""financial"" identifies a specific service or type of work Andy Allain does within Thrivent, acting as an organizational affiliation rather than specifying what kind of place Thrivent is or giving a geographic location.",1
Tractor Supply,Tractor Supply Co.,co,latin,noise,business_type,medium,"The extra content ""co"" stands for ""Company,"" which is a common abbreviation used to denote a corporate entity. While it provides some context about the nature of the organization, it does not significantly alter the core identity of Tractor Supply as a business.",0
Mary Print,Mary Print Sardegna,sardegna,latin,location,location,high,"The extra content ""sardegna"" is a geographic location identifier, which typically disambiguates between different branches or locations of the same business.",1
Cella Café,Cella Café Bar & Restaurant,bar restaurant,latin,business_type,business_type,high,"The extra content ""bar restaurant"" provides more detail about the types of services or offerings provided by Cella Café, indicating it is both a café and a bar/restaurant. This kind of information is characteristic of a business type classification.",1
Floripa Sucos,Floripa Sucos e Lanches,e lanches,latin,business_type,business_type,high,"The extra content ""e lanches"" translates to ""and snacks,"" which describes additional services offered by the business beyond just selling juices, providing more information about what kind of place this is.",1
Green Leaf's,Green Leaf's Beyond Great Salads,beyond great salads,latin,noise,business_type,high,"The extra content ""beyond great salads"" describes a type of business offering or product line, indicating that Green Leaf's provides more than just salads. This suggests it is a business type classification.",0
Wayne Cooley - COUNTRY Financial,Wayne Cooley - COUNTRY Financial representative,representative,latin,disambiguation,disambiguation,high,"The extra content ""representative"" identifies a specific role or position within COUNTRY Financial, which is not about what kind of business it is or where it is located but rather who might be associated with it.",1
Code Ninjas,Code Ninjas Virginia Beach,virginia beach,latin,location,location,high,"The extra content ""virginia beach"" is a geographic location qualifier, which indicates that this name disambiguates between multiple Code Ninjas locations by specifying their city or region.",1
Barnegat Bay Financial Group,Barnegat Bay Financial Group - Raymond James Office,raymond james office,latin,disambiguation,disambiguation,high,"The extra content ""raymond james office"" indicates that this is a specific branch or affiliate of Raymond James, which provides disambiguating information about the financial group's affiliation rather than describing its core business type.",1
West Herr Cadillac,West Herr Cadillac of East Aurora,of east aurora,latin,location,location,high,"The extra content ""of east aurora"" identifies a specific location that disambiguates which West Herr Cadillac is being referenced, fitting the criteria for location.",1
Academia Performance,Academia Performance & Saúde,saude,latin,business_type,disambiguation,medium,"The extra content ""saude"" translates to ""health"" in English, which provides additional context about the services offered by Academia Performance. However, it does not describe what kind of place this is or specify a location but rather gives information about the scope of services.",0
American Printing,American Printing Unlimited,unlimited,latin,disambiguation,noise,high,"The extra content ""unlimited"" does not describe a specific business type, location, or disambiguation. It is simply an adjective that modifies the core name without adding significant semantic value.",0
Batteries Plus,Batteries Plus Bulbs,bulbs,latin,business_type,business_type,high,"The extra content ""bulbs"" describes a specific product or service offered by Batteries Plus, which distinguishes it as a store that sells more than just batteries.",1
Marine Corps Exchange,Marine Corps Exchange (MCX),mcx,latin,disambiguation,disambiguation,high,"The extra content ""mcx"" is an abbreviation for Marine Corps Exchange, which does not describe what kind of place this is or add a location qualifier. Instead, it identifies the specific branch or brand within the organization.",1
Dias Park,Dias Park Estacionamento,estacionamento,latin,business_type,disambiguation,high,"The extra content ""estacionamento"" translates to ""parking,"" which describes a specific service or facility provided by Dias Park, indicating that this is not about what kind of place it is but rather what specific feature it offers.",0
Results Physiotherapy,"Results Physiotherapy Nashville, Tennessee - West",nashville tennessee west,latin,location,location,high,"The extra content ""nashville tennessee west"" is a location qualifier that specifies the city, state, and neighborhood of the physiotherapy clinic, which is typically noise or directory information used to disambiguate multiple locations with similar names.",1
Momo and Co.,Momo and Co. Design,design,latin,business_type,business_type,high,"The extra content ""design"" describes what kind of service or specialty Momo and Co. offers, making it a business type that adds essential information about the nature of the business.",1
The Vineyard Church,The Vineyard Church Bloomington-Normal,bloomingtonnormal,latin,location,location,high,"The extra content ""bloomingtonnormal"" is a geographic location qualifier, which typically indicates that this additional information helps to specify the exact branch or location of the church rather than its type.",1
Full Steam,Full Steam Tromso,tromso,latin,location,location,high,"The extra content ""tromso"" is a geographic location qualifier, indicating that this Full Steam is located in Tromso. This fits the pattern of adding context about where something is situated rather than describing what it is or providing disambiguating information.",1
Poorvika Mobiles,Poorvika Mobiles Cuddalore - Opp to Bus Stand,cuddalore opp to bus stand,latin,noise,location,high,"The extra content ""cuddalore opp to bus stand"" provides a location qualifier, indicating the specific area within Cuddalore where Poorvika Mobiles is situated. This fits the criteria of identifying a place name that helps in disambiguating between multiple branches or locations.",0
Industria Pizzeria,Industria Pizzeria + Bar,bar,latin,business_type,business_type,high,"The extra content ""bar"" provides additional information about the services or types of food and drink available, which distinguishes Industria Pizzeria as a venue that offers both pizza and bar service. This is not describing the core business type but rather adding scope to what kind of establishment it is.",1
Black Mamba Barber Shop & Tatto,Black Mamba Barbershop & Tattoo | Nezahualcóyotl,black mamba barbershop tattoo nezahualcoyotl,latin,business_type,business_type,high,"The extra content ""black mamba barbershop tattoo nezahualcoyotl"" includes the business type (""barbershop & tattoo"") which is essential to understanding what kind of establishment this is, and ""nezahualcoyotl"" is a location qualifier that identifies the specific city where the shop is situated.",1
Good Morning Children,Good Morning Children Limited,limited,latin,disambiguation,noise,high,"The extra content ""limited"" is a legal ownership notation that does not provide additional semantic value beyond indicating the corporate status of the entity, thus it is considered noise.",0
Kip McGrath,Kip McGrath Hammersmith,hammersmith,latin,location,location,high,"The extra content ""hammersmith"" is a specific location that disambiguates which Kip McGrath center this refers to, making it a geographic qualifier.",1
Volker Rentel GmbH,Volker Rentel GmbH Heizung- und Sanitärtechnik,heizung und sanitartechnik,latin,business_type,business_type,high,"The extra content ""heizung und sanitartechnik"" describes what kind of business Volker Rentel GmbH is, indicating that it deals with heating and sanitation technology.",1
Hanger Clinic,Hanger Clinic: Prosthetics & Orthotics,prosthetics orthotics,latin,business_type,business_type,high,"The extra content ""prosthetics orthotics"" describes what kind of services Hanger Clinic provides, which is a business type providing specific medical treatments.",1
Esfiha Chic,Esfiha Chic - Vila Arcádia,vila arcadia,latin,location,location,high,"The extra content ""vila arcadia"" is a neighborhood or district name, which typically serves as a location qualifier to specify where the establishment is located.",1
Cerrajeria Lionel,Cerrajería Lionel Centrito,centrito,latin,location,location,high,"The extra content ""centrito"" is a location qualifier that specifies the branch or neighborhood of Cerrajería Lionel, which helps to disambiguate which specific branch this refers to.",1
The Fairways at San Marcos,The Fairways at San Marcos Apartments,apartments,latin,business_type,business_type,high,"The extra content ""apartments"" describes what kind of place this is, as it specifies the type of residential units offered. This fits the criteria for a business type.",1
UBS Vila Elvira,UBS Vila Elvira - São José Do Rio Preto,sao jose do rio preto,latin,location,location,high,"The extra content ""sao jose do rio preto"" is a city name, which identifies a specific location. This type of qualifier typically indicates that the longer name provides additional geographic context.",1
Elite Picture Framing,Elite Picture Framing Adelaide,adelaide,latin,location,location,high,"The extra content ""adelaide"" is a city name that specifies which branch or location of Elite Picture Framing this refers to, making it a geographic qualifier.",1
Aldak GmbH,ALDAK GmbH VIBRATIONSTECHNIK,vibrationstechnik,latin,business_type,business_type,high,"The extra content ""vibrationstechnik"" describes what kind of business ALDAK GmbH is, indicating that it specializes in vibration technology.",1
Centro Comunitário,Centro Comunitario Taiaçu,taiacu,latin,location,location,high,"The extra content ""taiacu"" is a geographic qualifier that helps to identify which specific Centro Comunitário this refers to, thus serving as location information.",1
Dercole Pneumatici,Dercole Pneumatici Autofficina Castrol Service,autofficina castrol service,latin,business_type,disambiguation,high,"The extra content ""autofficina castrol service"" provides additional details about the type of services or brand affiliation without specifying a business type, location, or personal name. This classification is driven by the fact that it identifies a specific branch or service offering.",0
Hollyhock Hill,Hollyhock Hill Restaurant,restaurant,latin,business_type,business_type,high,"The extra content ""restaurant"" directly describes what kind of place Hollyhock Hill is, making it a business type that adds essential information to distinguish this establishment.",1
Management Factory Corporate Advisory GmbH,Management Factory Corporate Advisory GmbH - Valtus,valtus,latin,disambiguation,disambiguation,high,"The extra content ""valtus"" identifies a specific brand or franchise affiliation, which is not a location or business type but rather an organizational disambiguation.",1
Princeton Radiology,Princeton Radiology - Monroe,monroe,latin,location,disambiguation,high,"The extra content ""monroe"" is a geographic qualifier that helps to disambiguate which specific Princeton Radiology location or branch is being referred to, fitting the pattern of identifying a specific instance without describing the business type.",0
Carquest Auto Parts,Carquest Auto Parts - Jerry's Auto Parts,jerrys auto parts,latin,disambiguation,disambiguation,high,"The extra content ""jerrys auto parts"" identifies a specific branch or franchise of Carquest Auto Parts, which is organizational affiliation information that distinguishes it from other branches but does not describe what the business is.",1
Tempe Veterinary,Tempe Veterinary Hospital,hospital,latin,business_type,business_type,high,"The extra content ""hospital"" describes what kind of place ""Tempe Veterinary"" is, indicating that it is a specific type of facility providing veterinary services.",1
Atm,ATM (Post Office),post office,latin,disambiguation,disambiguation,high,"The extra content ""post office"" identifies a specific type of service or location that the ATM is associated with, acting as a disambiguation factor to specify which kind of ATM it is (one located in a Post Office).",1
Brooklyn Basketball Academy,Brooklyn Basketball Academy (BBA),bba,latin,disambiguation,disambiguation,high,"The extra content ""bba"" is an abbreviation that likely stands for a specific program or organization name, which serves to disambiguate between different Brooklyn Basketball Academies.",1
Master Mechanic,Master Mechanic Pickering,pickering,latin,location,location,high,"The extra content ""pickering"" is a specific location that disambiguates which Master Mechanic business this refers to, making it a geographic qualifier.",1
Boost Mobile,Boost Mobile Local Moline,local moline,latin,location,location,high,"The extra content ""local moline"" provides additional location information that disambiguates which Boost Mobile store is being referred to. This is a place name qualifier.",1
Cookie Cutters Haircuts for Kids,Cookie Cutters Haircuts for Kids - Beverly Hills,beverly hills,latin,location,location,high,"The extra content ""beverly hills"" is a specific location that disambiguates which branch or affiliate of Cookie Cutters Haircuts for Kids this refers to, fitting the criteria for location.",1
Mail Boxes ETC.,Mail Boxes Etc. UK,uk,latin,location,location,high,"The extra content ""uk"" is a geographic qualifier that specifies which branch or region of Mail Boxes ETC. this name refers to, thus serving as location disambiguation.",1
Learn And Play Montessori School,Learn and Play Montessori School - Peralta,peralta,latin,location,location,high,"The extra content ""peralta"" is a geographic qualifier that helps to disambiguate which specific Learn And Play Montessori School this refers to.",1
Liceo Scientifico Isacco Newton,Liceo Scientifico Isacco Newton (succursale),succursale,latin,disambiguation,disambiguation,high,"The extra content ""succursale"" indicates a branch or secondary location of the Liceo Scientifico Isacco Newton, which is used to disambiguate between different branches but does not change what the core institution is.",1
Prestige de Menton,Prestige de Menton - Eau de Menton,eau de menton,latin,location,business_type,high,"The extra content ""eau de menton"" describes a specific type of product or service, which provides additional information about what the Prestige de Menton offers. This is not describing the business type or location but rather specifying its offerings.",0
ImmoWert Hessen,ImmoWert Hessen Carsten Nessler Sachverständige für Immobilien,carsten nessler sachverstandige fur immobilien,latin,business_type,disambiguation,high,"The extra content ""carsten nessler sachverstandige fur immobilien"" identifies a specific individual (Carsten Nessler) and their professional role (""Sachverständige für Immobilien""), which is an organizational or personnel disambiguation rather than describing the business type or location.",0
United Promotions Inc,United Promotions Inc. Photo Lab,photo lab,latin,business_type,business_type,high,"The extra content ""photo lab"" describes a specific service provided by United Promotions Inc, which indicates that it is a business type describing what kind of place or entity this is.",1
The Home Depot,The Home Depot México,mexico,latin,location,location,high,"The extra content ""mexico"" identifies the country where The Home Depot is located, which is a place name that disambiguates the specific branch or location of the business.",1
APEC Hospital de la Ceguera,Apec Hospital De La Ceguera Azcapotzalco,azcapotzalco,latin,location,location,high,"The extra content ""azcapotzalco"" is a neighborhood or district name, which provides a geographic location to disambiguate which specific APEC Hospital de la Ceguera this refers to.",1
Smartphone Solutions,Smartphone Solutions Sunbury,sunbury,latin,location,location,high,"The extra content ""sunbury"" is a geographic qualifier that specifies the location of the Smartphone Solutions business, indicating it is directory noise rather than describing what kind of place or service it is.",1
Vitality Integrated Programs,Vitality Integrated Programs (VIP),vip,latin,disambiguation,disambiguation,high,"The extra content ""vip"" indicates that this is likely a branded or tiered program, but it does not describe the business type or provide additional geographic location information. It serves to disambiguate between different levels of programs offered by Vitality Integrated Programs.",1
See's Candies,See's Candies Chocolate Shop,chocolate shop,latin,business_type,business_type,high,"The extra content ""chocolate shop"" describes what kind of place See's Candies is, providing essential information about its business type.",1
Bad & Meer,Bad & Meer Fachmarkt für Heizung & Sanitär,fachmarkt fur heizung sanitar,latin,business_type,business_type,high,"The extra content ""fachmarkt fur heizung sanitar"" describes a specific type of business or service, indicating that Bad & Meer is a specialized marketplace for heating and sanitary services.",1
Royce Rolls,Royce Rolls Cafe,cafe,latin,business_type,business_type,high,"The extra content ""cafe"" describes what kind of establishment Royce Rolls is, making it a business type that provides essential information about the nature of the place.",1
Waterbury Career Academy,Waterbury Career Academy High School,high school,latin,business_type,disambiguation,high,"The extra content ""high school"" indicates that it is a specific type of institution, which disambiguates Waterbury Career Academy as a particular branch or organization within the broader category of educational institutions.",0
Village Medical,Village Medical at Walgreens,at walgreens,latin,disambiguation,disambiguation,high,"The extra content ""at walgreens"" indicates a specific location or affiliation, suggesting that Village Medical operates in conjunction with Walgreens. This is not describing the business type or providing additional location information but rather identifying its presence at a particular store.",1
Remington Heights,Remington Heights Retirement Community,retirement community,latin,business_type,business_type,high,"The extra content ""retirement community"" describes what kind of place Remington Heights is, indicating that it's a specific type of residential establishment rather than just a location or business name.",1
Vegano Bio,Vegano Bio - Shop Online Prodotti Vegani,shop online prodotti vegani,latin,noise,business_type,high,"The extra content ""shop online prodotti vegani"" describes what kind of business this is, indicating it's an online shop specifically for vegan products. This provides additional information about the nature of the establishment.",0
De Giovannini,De Giovannini Secondo di Cozzi Pier Secondo,secondo di cozzi pier secondo,latin,disambiguation,disambiguation,high,"The extra content ""secondo di cozzi pier secondo"" provides disambiguating information about a specific individual within the De Giovannini business, identifying multiple layers of personal names rather than describing what kind of place or organization this is.",1
El Dorado Hills Sports Club,El Dorado Hills Sports Club and Spa,and spa,latin,business_type,disambiguation,high,"The extra content ""and spa"" indicates additional services offered by the sports club, which disambiguates to show that this is a specific branch or service list rather than providing information about what kind of place it is.",0
Extended Stay America,Extended Stay America Los Angeles / Arcadia,los angeles arcadia,latin,location,location,high,"The extra content ""los angeles arcadia"" includes multiple city names, which suggests a location qualifier. However, since both cities are listed, it implies that this is specifying multiple locations rather than disambiguating a single branch or personal identifier.",1
Oh My Goodness,Oh My Goodness OMG,omg,latin,disambiguation,noise,high,"The extra content ""omg"" is a casual acronym typically used as an interjection or to denote something extraordinary, which does not describe what kind of business this place is or specify a location. It serves more as a tagline or stylistic addition.",0
Miracle Mile Shops,Miracle Mile Shops At Planet Hollywood,at planet hollywood,latin,location,location,medium,"The extra content ""at planet hollywood"" indicates that these shops are part of a larger location (Planet Hollywood), which provides context but does not change the primary nature or business type of Miracle Mile Shops.",1
Blue Rhino,Blue Rhino Propane Exchange,propane exchange,latin,business_type,business_type,high,"The extra content ""propane exchange"" describes what kind of service or business function Blue Rhino provides, indicating it is a specific type of establishment rather than just a location.",1
Heartland Mortgage Inc - Bobbie Jo Haggard,"Heartland Mortgage Inc. / Bobbie Jo Haggard, NMLS 92472",nmls 92472,latin,noise,noise,high,"The extra content ""nmls 92472"" is a license number or identifier appended to a personal name, which adds no semantic value but serves as a professional credential.",1
Hotel Farol,Hotel Farol - Mosqueiro,mosqueiro,latin,location,location,high,"The extra content ""mosqueiro"" is a geographic qualifier that specifies the location of the Hotel Farol, which disambiguates it from other similarly named hotels.",1
AdventHealth Medical Group Primary Care,AdventHealth Medical Group Primary Care at Brandon,at brandon,latin,location,location,high,"The extra content ""at brandon"" indicates a specific location qualifier, which is typical of location-based disambiguation.",1
Eat Happy,Eat Happy Sushi & asiatische Spezialitäten,sushi asiatische spezialitaten,latin,business_type,business_type,high,"The extra content ""sushi asiatische spezialitaten"" describes the types of food served at the restaurant, indicating what kind of place this is by specifying its menu offerings.",1
Wohnungsauflösungen Schenk,Wohnungsauflösungen Schenk Ankauf und Verkauf,ankauf und verkauf,latin,business_type,business_type,high,"The extra content ""ankauf und verkauf"" describes what kind of services or transactions are offered by Wohnungsauflösungen Schenk, indicating that this is a business type rather than an additional location or disambiguation.",1
