short_name,long_name,extra_content,correct_answer,annotator_selected_name,city,alt_address,base_address,real_canonical_name,closer_to_real,annotator_correct,verification_sources,verification_notes
Dan Stiebel,"Dan Stiebel, Coldwell Banker Commercial Schmidt",coldwell banker commercial schmidt,disambiguation,Dan Stiebel,Traverse City,402 E Front St,522 E Front St,"Dan Stiebel, Coldwell Banker Commercial Schmidt",longer,no,"Brand website, Google Maps",
PC-Shop Delmenhorst,PC-Shop Delmenhorst Inh. Harald H. J. Mählenhoff e.K.,inh harald h j mahlenhoff ek,noise,PC-Shop Delmenhorst,Delmenhorst,Oldenburger Straße 40,Oldenburger Str. 40,PC-Shop Delmenhorst,shorter,yes,Brand website,Not Google Maps
Eat Happy,Eat Happy Sushi & asiatische Spezialitäten,sushi asiatische spezialitaten,business_type,Eat Happy Sushi & asiatische Spezialitäten,Speyer,St.-German-Str. 8,Sankt-German-Straße 8,EAT HAPPY,shorter,no,"Brand website, Google Maps",Older name
Bad & Meer,Bad & Meer Fachmarkt für Heizung & Sanitär,fachmarkt fur heizung sanitar,business_type,Bad & Meer Fachmarkt für Heizung & Sanitär,Büdelsdorf,Hollerstr. 99,Hollerstr. 99,Bad & Meer,shorter,no,"Brand website, Google Maps",
Canal Video,Canal Vidéo Laryan 82 Franchisé indépendant,laryan 82 franchise independant,disambiguation,Canal Video,Montauban,2 Rue Mary Lafon,"2 rue Mary Lafon, Albanrd",Canal Video,shorter,yes,Yelp,
Vegano Bio,Vegano Bio - Shop Online Prodotti Vegani,shop online prodotti vegani,noise,Vegano Bio,Pesaro,"Viale Antonio Gramsci, 21","Viale Gramsci Antonio, 21",Vegano Bio,shorter,yes,,
De Giovannini,De Giovannini Secondo di Cozzi Pier Secondo,secondo di cozzi pier secondo,disambiguation,De Giovannini,Legnano,"Piazza Don Luigi Sturzo, 10",Via Piazza Don Luigi Sturzo 10,De Giovannini di Cozzi Pier Secondo ,longer,no,"Brand website, Google Maps",
Clínica Gisele Cario,Clínica Gisele Cario - Spazio di Medicina Estética,spazio di medicina estetica,business_type,Clínica Gisele Cario - Spazio di Medicina Estética,Rio de Janeiro,"Rua Conde de Bonfim, 44","Rua Conde de Bonfim, 44, sala 1105",Clínica Gisele Cario,shorter,yes,"FaceBook, Instagram",Not Yelp
Craig Bagley,Craig Bagley - State Farm Insurance Agent,state farm insurance agent,business_type,Craig Bagley - State Farm Insurance Agent,Weatherford,1916 Martin Dr,1916 Martin Dr Ste 300,Craig Bagley - State Farm Insurance Agent,longer,yes,"Brand website, Google Maps",
Edward Jones,Edward Jones- Financial Advisor:Heidi Lue,financial advisorheidi lue,disambiguation,Edward Jones,Snellville,2795 Main St W,2795 Main St W Ste 24B,"Edward Jones - Financial Advisor: Heidi L Lue, CEPA®",longer,yes,Google Maps,Not FaceBook
Poorvika Mobiles,Poorvika Mobiles Cuddalore - Opp to Bus Stand,cuddalore opp to bus stand,noise,Poorvika Mobiles,Cuddalore,66 Lawrence Road,"No.75, Lawrence Road, Opposite to Bus Stand, Muthaiya Nagar, Thirupapuliyur",Poorvika Mobiles Cuddalore,shorter,yes,"Brand website, FaceBook, Google Maps",
Ordine degli Ingegneri,Ordine degli Ingegneri della Provincia di Cagliari,della provincia di cagliari,location,Ordine degli Ingegneri,Cagliari,"Via Torquato Tasso, 25",Via Tasso 25,Ordine degli Ingegneri della Provincia di Cagliari,longer,no,"Brand website, Google Maps",Italy might be a country where location subsets matter
Dercole Pneumatici,Dercole Pneumatici Autofficina Castrol Service,autofficina castrol service,business_type,Dercole Pneumatici Autofficina Castrol Service,Cusano Milanino,"Via Alessandrina, 71","Via Alessandrina, 71",Dercole Pneumatici Autofficina Castrol Service,longer,yes,Google Maps,"It's more correct, but Castrol Service might be Google Maps SEO garbage"
Volker Rentel GmbH,Volker Rentel GmbH Heizung- und Sanitärtechnik,heizung und sanitartechnik,business_type,Volker Rentel GmbH Heizung- und Sanitärtechnik,Oberhausen,Duisburger Str. 171 - 173,Duisburger Str. 171 -173,Volker Rentel GmbH,shorter,no,"Brand website, Google Maps",Odd exmaple
Jiffy Xpress,Jiffy Xpress / Godfather's Pizza Express,godfathers pizza express,noise,Jiffy Xpress,Martensdale,290 Highway 28,,Jiffy Xpress,shorter,yes,"Brand website, Google Maps",Should never be together
Results Physiotherapy,"Results Physiotherapy Nashville, Tennessee - West",nashville tennessee west,location,Results Physiotherapy,Nashville,6816 Charlotte Pike Ste 103,6816 Charlotte Pike,Results Physiotherapy,shorter,yes,"Brand website, Google Maps",seo garbage
Mystères du Lac,Mystères du Lac - City Games & Escape Game,city games escape game,noise,Mystères du Lac,Annecy,23 Rue Sommeiller,23 rue Sommeiller,Mystères du Lac,shorter,yes,"Brand website, Yelp, Google Maps",
Heilbronner Teeladen,Heilbronner Teeladen in der Delikatessa Kaufhof,in der delikatessa kaufhof,location,Heilbronner Teeladen,Heilbronn,Fleiner Straße 15,Deutschhofstraße 15,Heilbronner Teeladen,shorter,yes,"Brand website, Google Maps, MapQuest",
Dixon Center,Dixon Center for Integrative Healthcare,for integrative healthcare,business_type,Dixon Center for Integrative Healthcare,Nashville,211 Old Hickory Blvd,211 Old Hickory Blvd,Dixon Center for Integrative Healthcare,longer,yes,"Google Maps, Yelp, FaceBook",
Palmyra Beaute,Palmyra Beauté - Institut de beauté Agde,institut de beaute agde,disambiguation,Palmyra Beaute,Agde,4 Avenue des Alizés,avenue Alizés,Palmyra Beaute,shorter,yes,"Brand website, FaceBook, Google Maps",Good candidate for Hypothesis 3: constructing a new third name
Freddy's Frozen Custard & Steakburgers,"Freddy's Frozen Custard & Steakburgers Spring, TX, Kuykendahl Rd",spring tx kuykendahl rd,location,Freddy's Frozen Custard & Steakburgers,Spring,21420 Kuykendahl Rd,21420 Kuykendahl Rd,Freddy's Frozen Custard & Steakburgers,shorter,yes,"Brand website, FaceBook, Google Maps",
Signal Iduna,SIGNAL IDUNA Geschäftsstelle Siegburg,geschaftsstelle siegburg,business_type,SIGNAL IDUNA Geschäftsstelle Siegburg,Siegburg,Augustastraße 5B,Augustastr. 5 b,Signal Iduna,shorter,no,"Brand website, Google Maps","Internal listing, not public facing listing"
Odell Brewing Co,Odell Brewing Co-Small Batch Revival 2011,small batch revival 2011,noise,Odell Brewing Co,Fort Collins,800 E Lincoln Ave,800 E Lincoln Ave,Odell Brewing Co,shorter,yes,"Brand website, Google Maps",
Steve & Lori Robinson Realtors,Steve & Lori Robinson Realtors - BHHS Elite Real Estate,bhhs elite real estate,disambiguation,Steve & Lori Robinson Realtors,American Fork,825 E 1180 S,825 E 1180 S Ste 300,Steve & Lori Robinson Realtors,shorter,yes,"Brand website, FaceBook, Instagram, Berkshire Hathaway",
Arthur Murray,Arthur Murray Dance Studio - Beaverton,dance studio beaverton,business_type,Arthur Murray Dance Studio - Beaverton,Beaverton,10030 SW Beaverton Hillsdale Hwy,10030 SW Beaverton Hillsdale Highway,Arthur Murray Dance Studio - Beaverton,longer,yes,"Brand website, FaceBook, Instagram, Yelp, TripAdvisor",NOT good candidate for Hypothesis 3: constructing a new third name?
Hanger Clinic,Hanger Clinic: Prosthetics & Orthotics,prosthetics orthotics,business_type,Hanger Clinic: Prosthetics & Orthotics,Zachary,6363 Main St,6363 Main St Ste E,Hanger Clinic: Prosthetics & Orthotics,longer,yes,"Brand website, Google Maps, Yelp",
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,location,Pieology Pizzeria,Honolulu,820 W Hind Dr,820 W Hind Dr,Pieology Pizzeria,shorter,yes,"Brand website, Yelp",Not Google Maps
PicturePeople Fotostudio,PicturePeople Fotostudio Frankfurt-Berger-Straße,frankfurtbergerstraße,location,PicturePeople Fotostudio,Frankfurt am Main,Berger Straße 124A,Berger Str. 124A,PicturePeople Fotostudio Frankfurt-Berger-Straße,longer,no,"Brand website, Google Maps",Is Germany like Italy where location/name is usually not SEO?
Open Air,Open Air - Power Bus Specialists,power bus specialists,business_type,Open Air - Power Bus Specialists,St Cloud,100 Roosevelt Rd,100 Roosevelt Rd Ste A,Open Air,shorter,no,"Brand website, Google Maps, Yelp",
Apollo Tyres,Apollo Tyres - Bhatia Tyre & Service,bhatia tyre service,disambiguation,Apollo Tyres,Fatehabad,"Shop No 233, Auto Market",Shop No 233,Apollo Tyres - Bhatia Tyre & Service,longer,no,"Brand website, Google Maps",
UBS Vila Elvira,UBS Vila Elvira - São José Do Rio Preto,sao jose do rio preto,location,UBS Vila Elvira,,,,UBS Vila Elvira,shorter,yes,"Google Maps, Instagram, cnes2.datasus.gov.br",Not brand website (website is buggy)
Barnegat Bay Financial Group,Barnegat Bay Financial Group - Raymond James Office,raymond james office,disambiguation,Barnegat Bay Financial Group,Lacey,929 Lacey Rd,929 Lacey Rd,Barnegat Bay Financial Group,shorter,yes,"Brand website, Google Maps",Not MapQuest
First Hawaiian Bank ATM,"First Hawaiian Bank ATM, Minit Stop-Orchidland",minit stoporchidland,disambiguation,First Hawaiian Bank ATM,Keaau,"16-1119 Orchid Land Drive, Minit Stop-Orchidland",1119 Orchid Land Drive,"First Hawaiian Bank ATM, Minit Stop-Orchidland",longer,no,"Brand website, Google Maps","Might be like Italy and Germany, location is a norm"
Auto Stark,Auto Stark Acessórios Automotivo,acessorios automotivo,business_type,Auto Stark Acessórios Automotivo,Osasco,"Rua Morganita, 52",rua morganita número 52,Auto Stark Acessórios Automotivo,longer,yes,Google Maps,"Not Instagram (but as a bio yes), and lack of brand website"
Extended Stay America,Extended Stay America Los Angeles / Arcadia,los angeles arcadia,location,Extended Stay America,Arcadia,401 E Santa Clara St,401 E Santa Clara St,Extended Stay America Los Angeles / Arcadia,longer,no,"Brand website, Google Maps",Another example of location being a norm
Bluebird Care,Bluebird Care Tamworth & Lichfield,tamworth lichfield,location,Bluebird Care,Tamworth,21 Lichfield Street,"Manor House, Lichfield Street",Bluebird Care Tamworth & Lichfield,longer,no,"Brand website, Google Maps",Another example of location being a norm - chain
essbar 32,Essbar 32 Inh. Zahide Kahraman,inh zahide kahraman,disambiguation,essbar 32,Köln,Maternusstraße 32,maternusstrasse 32,essbar 32,shorter,yes,Google Maps,Dead business
Remington Heights,Remington Heights Retirement Community,retirement community,business_type,Remington Heights Retirement Community,Omaha,12606 W Dodge Rd,12606 W Dodge Rd,Remington Heights Retirement Community,longer,yes,Google Maps,"Not brand website, because it's in description/bio as a tagline. Makes sense that map listing also inherits the business descriptor for clarity"
BFC MONEY,BFC Money Vay Nhanh Qua Icloud,vay nhanh qua icloud,disambiguation,BFC MONEY,Quận Nam Từ Liêm,25 Phố Nguyễn Hoàng,25 Phố Nguyễn Hoàng,BFC MONEY,shorter,yes,"Confirmed with Vietnamese citizen, some Google Maps",Common noise/garbage in Vietnam
Carquest Auto Parts,Carquest Auto Parts - Jerry's Auto Parts,jerrys auto parts,disambiguation,Carquest Auto Parts,Rock Valley,2001 10th St,2001 10th St,Carquest Auto Parts - Jerry's Auto Parts,longer,no,"Brand website, Google Maps",Chain store standard
Albany Auto Color,Albany Auto Color and Power Equipment,and power equipment,business_type,Albany Auto Color and Power Equipment,Albany,1014 N Cross St,1014 N Cross St,Albany Auto Color and Power Equipment,longer,yes,"Brand website, FaceBook, Google Maps",
Top Cut,Top Cut Family Hair Cutters,family hair cutters,business_type,Top Cut Family Hair Cutters,Broken Arrow,6424 S Elm Pl,6400 S Elm Pl,Top Cut Family Hair Cutters,longer,yes,"Brand website, FaceBook, Google Maps",
Miracle Mile Shops,Miracle Mile Shops At Planet Hollywood,at planet hollywood,location,Miracle Mile Shops,Las Vegas,3663 S Las Vegas Blvd,3663 Las Vegas Blvd South,Miracle Mile Shops,shorter,yes,"Brand website, Google Maps",
Green Leaf's,Green Leaf's Beyond Great Salads,beyond great salads,business_type,Green Leaf's Beyond Great Salads,Bethlehem,77 Sands Blvd,77 Sands Blvd,Green Leaf's Beyond Great Salads,longer,yes,"Brand website, old menu, Simon mall listing",Old name before they changed to Green Leaf's and Bananas
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,disambiguation,Boot Barn Hall,Gainesville,312 Jesse Jewell Pkwy,312 Jesse Jewell,Boot Barn Hall at Bourbon Brothers,longer,no,"Brand website, Yelp, Apple maps",
Dog's Shop,Dog's Shop Pampulha - Pet Shop,pampulha pet shop,business_type,Dog's Shop Pampulha - Pet Shop,Belo Horizonte,Av. Portugal 4273,"Av. Portugal, 4297",,,,"",Candidate for H3... location + descriptor
Service Neon,Service Neon di Cateni Riccardo,di cateni riccardo,disambiguation,Service Neon,Rosignano Solvay,"Via Cava, 257",Via della Cava 257,,,,,
Wohnungsauflösungen Schenk,Wohnungsauflösungen Schenk Ankauf und Verkauf,ankauf und verkauf,business_type,Wohnungsauflösungen Schenk Ankauf und Verkauf,Selb,Ludwigstraße 38,Ludwigstr. 38,,,,,
Parc Clichy-Batignolles,Parc Clichy-Batignolles Martin Luther King,martin luther king,location,Parc Clichy-Batignolles,Paris,147 Rue Cardinet,Rue Cardinet,,,,,
The Vineyard Church,The Vineyard Church Bloomington-Normal,bloomingtonnormal,location,The Vineyard Church,Normal,380 Wylie Dr,380 Wylie Dr Ste 650,,,,,
Olive Garden,Olive Garden Italian Restaurant,italian restaurant,business_type,Olive Garden Italian Restaurant,Midland,6803 Eastman Ave,6803 Eastman Avenue,Olive Garden Italian Restaurant,longer,yes,,
Olive Garden,Olive Garden Italian Restaurant,italian restaurant,business_type,Olive Garden Italian Restaurant,Montclair,9251 Monte Vista Ave,9251 Monte Vista Ave,Olive Garden Italian Restaurant,longer,yes,,
Olive Garden,Olive Garden Italian Restaurant,italian restaurant,business_type,Olive Garden Italian Restaurant,Midland,6803 Eastman Ave,6803 Eastman Avenue,Olive Garden Italian Restaurant,longer,yes,,
Olive Garden,Olive Garden Italian Restaurant,italian restaurant,business_type,Olive Garden Italian Restaurant,Montclair,9251 Monte Vista Ave,9251 Monte Vista Ave,Olive Garden Italian Restaurant,longer,yes,,
The Flying Locksmiths,The Flying Locksmiths - Los Angeles West,los angeles west,location,The Flying Locksmiths,Inglewood,11222 S La Cienega Blvd,11222 S La Cienega Blvd Ste 254,,,,,
Aldak GmbH,ALDAK GmbH VIBRATIONSTECHNIK,vibrationstechnik,business_type,ALDAK GmbH VIBRATIONSTECHNIK,Troisdorf,Redcarstr. 18,Redcarstr. 18,,,,,
MID COUNTY LANES,Mid County Lanes and Entertainment,and entertainment,business_type,Mid County Lanes and Entertainment,Middletown,875 N Broad St,875 N BROAD St,,,,,
Comercial Mariano,Comercial Mariano de Porto Velho-Ro,de porto velhoro,location,Comercial Mariano,Porto Velho,"Rua da Beira, 7420",Rua da Beira,,,,,
Fitness Together,Fitness Together - Jenks Riverside,jenks riverside,location,Fitness Together,Tulsa,9708 Riverside Pkwy Ste D,9708 Riverside Pkwy Ste D,,,,,
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,location,Bluebird Care,Epsom,1 Blenheim Road,"Unit E Blenheim House, 1 Blenheim Road",,,,,
Cella Café,Cella Café Bar & Restaurant,bar restaurant,business_type,Cella Café Bar & Restaurant,Bad Zell,"Kurhotel Bad Zell, Kurhausstraße 9","Kurhausstraße 9, Bad Zell",Cella Café Bar & Restaurant,longer,yes,"Brand website, Google Maps",
Hotel Olimpia,Hotel Olimpia  Silvi Marina TE,silvi marina te,location,Hotel Olimpia,Silvi,"Via Giovanni Pascoli, 16",Via Giovanni Pascoli 18,,,,,
San Jose Airport,San Jose Airport - DUP DO NOT USE,dup do not use,noise,San Jose Airport,San Jose,1701 Airport Blvd,Airport Blvd.,San Jose Airport,shorter,yes,,"Notable example, good example"
Blue Rhino,Blue Rhino Propane Exchange,propane exchange,business_type,Blue Rhino Propane Exchange,Unityville,11831 State Route 118,11831 Rt 118 Hwy # PO,Blue Rhino,shorter,no,,Check w/ Sri
Tiger Rock Martial Arts,Tiger Rock Martial Arts of Lawrenceville,of lawrenceville,location,Tiger Rock Martial Arts,Lawrenceville,1404 Lawrenceville Suwanee Rd,1404 Lawrenceville Suwanee Rd Ste 104,Tiger Rock Martial Arts,shorter,yes,Brand website,"Check w/ Sri, not Google Maps"
City Center,City Center Bosque Esmeralda,bosque esmeralda,location,City Center,Atizapán de Zaragoza,Calle Bosque Esmeralda 2,Bosques de Arrayán 1 Mza. 5,,,,,
Black Mamba Barber Shop & Tatto,Black Mamba Barbershop & Tattoo | Nezahualcóyotl,black mamba barbershop tattoo nezahualcoyotl,business_type,Black Mamba Barbershop & Tattoo | Nezahualcóyotl,Nezahualcóyotl,Avenida Central 117,Av. Central #117 local B,,,,,
Studio D,Studio D Espaço de Beleza,espaco de beleza,business_type,Studio D Espaço de Beleza,Goiânia,"Avenida Albert Einstein Quadra 10, 13",Avenida Albert Eintein Qd 13 Lt 21,,,,,
Residence Malcesine,RESIDENCE MALCESINE Active & Family,active family,business_type,RESIDENCE MALCESINE Active & Family,Malcesine,"Via Navene Vecchia, 135","Via Navene Vecchia, 135",,,,,
Studio Odontoiatrico Borgioli Dr. Andrea,Studio Odontoiatrico Borgioli Dr. Andrea Medico Chirurgo,medico chirurgo,noise,Studio Odontoiatrico Borgioli Dr. Andrea,Carrara,"Piazza Gino Menconi, 13","Piazza G. Menconi, 13",,,,,
Maison du Parc,Maison du Parc de Themericourt,de themericourt,location,Maison du Parc,,rue du Fléau des Mers,Rue du Fléau des Mers,,,,,
Cookie Cutters Haircuts for Kids,Cookie Cutters Haircuts for Kids - Beverly Hills,beverly hills,location,Cookie Cutters Haircuts for Kids,Beverly Hills,266 S Beverly Dr,266 S Beverly Dr,Cookie Cutters Haircuts for Kids,shorter,yes,,Check w/ Sri
Raising Cane's,Raising Cane's Chicken Fingers,chicken fingers,business_type,Raising Cane's Chicken Fingers,Florence,8020 Burlington Pike,8020 Burlington Pike,Raising Cane's Chicken Fingers,longer,yes,"Brand website, Google Maps, Yelp","Notable example, good example"
Prestige de Menton,Prestige de Menton - Eau de Menton,eau de menton,disambiguation,Prestige de Menton,Menton,19 Rue Saint-Michel,"19, Rue Saint Michel",,,,,
Maria Bonita,"Maria Bonita, Maria del Alma",maria del alma,disambiguation,Maria Bonita,Mar del Plata,Alvarado 2085,Alvarado 2085,,,,,
Colourfence Garden Fencing,ColourFence Garden Fencing - Isle Of Wight,isle of wight,location,Colourfence Garden Fencing,Godshill,"Bridgecourt House, Whitwell Road","Bridgecourt House, Whitwell Road, Godshill",,,,,
Miller's Ale House,Miller's Ale House - Tampa Airport,tampa airport,disambiguation,Miller's Ale House,Tampa,"3860 West Columbus Drive, Tampa Airport",3860 W Columbus Dr,,,,,
Zahnärzte in der F16,ZAHNÄRZTE in der f16 ZAHNGESUNDHEIT,zahngesundheit,business_type,ZAHNÄRZTE in der f16 ZAHNGESUNDHEIT,Neu-Ulm,Filchnerstraße 16,Filchnerstr. 16,,,,,
CHI Saint Joseph Medical Group,CHI Saint Joseph Medical Group - Primary Care,primary care,disambiguation,CHI Saint Joseph Medical Group,Lexington,211 Fountain Ct,211 Fountain Ct Ste 340,,,,,
Black Bear Lodge,Black Bear Lodge at Deer Valley,at deer valley,location,Black Bear Lodge,Park City,7447 Royal St,7447 Royal St E Unit 251,Black Bear Lodge,shorter,yes,"Brand website, Google Maps",
Culligan Water Conditioning,"Culligan Water Conditioning of Sturgis, MI",of sturgis mi,disambiguation,Culligan Water Conditioning,Sturgis,26341 Us Highway 12,26341 US Highway 12,Culligan Water Conditioning,shorter,yes,,Check w/ Sri
LOOKING GLASS,Looking Glass Beachfront Inn,beachfront inn,business_type,Looking Glass Beachfront Inn,Grand Haven,1100 S Harbor Dr,1100 S Harbor Dr,Looking Glass Beachfront Inn,longer,yes,"Brand website, Google Maps",
Wayne Cooley - COUNTRY Financial,Wayne Cooley - COUNTRY Financial representative,representative,disambiguation,Wayne Cooley - COUNTRY Financial,Canby,380 NW 1st Ave,380 NW 1st Ave,,,,,
Fox Trail Memory Care Living,Fox Trail Memory Care Living at South River,at south river,location,Fox Trail Memory Care Living,South River,69 Burton Ave,69 Burton Ave,,,,,
JE Carriers,JE Carriers Auto Transport,auto transport,business_type,JE Carriers Auto Transport,Raleigh,6320 Capital Blvd,6320 Capital Blvd,,,,,
West Herr Cadillac,West Herr Cadillac of East Aurora,of east aurora,location,West Herr Cadillac,East Aurora,535 Main St,535 Main St,West Herr Cadillac,shorter,yes,"Brand website, Google Maps",
Code Ninjas,Code Ninjas Virginia Beach,virginia beach,location,Code Ninjas,Virginia Beach,3300 Princess Anne Rd,3300 Princess Anne Rd Ste 739,Code Ninjas,shorter,yes,Google Maps,Check w/ Sri
Roper St. Francis Physician Partners,Roper St. Francis Physician Partners - Primary Care,primary care,disambiguation,Roper St. Francis Physician Partners,North Charleston,5133 Rivers Ave,5133 Rivers Ave,,,,,
Family Practice Associates of Orange Park,Family Practice Associates of Orange Park Fleming Island,fleming island,disambiguation,Family Practice Associates of Orange Park,Fleming Island,4711 US Highway 17,4689 US Highway 17 Ste 14,,,,,
Dias Park,Dias Park Estacionamento,estacionamento,business_type,Dias Park Estacionamento,Santo André,"Rua Guilherme Marconi, 149","Rua Guilherme Marconi, 149",,,,,
Esfiha Chic,Esfiha Chic - Vila Arcádia,vila arcadia,location,Esfiha Chic,São Paulo,"Avenida General Edgard Facó, 2002","Av. Gal. Edgard Faccó, 2002",,,,,
Igreja Batista Vale de Bênção,Igreja Batista Vale De Benção - Águas Claras,aguas claras,location,Igreja Batista Vale de Bênção,Taguatinga,"Av. Vereda da Cruz, Lt. 17","Av. Vereda da Cruz, Lt. 17",,,,,
Bed Bath N Table,Bed Bath N' Table Winston Hills,winston hills,location,Bed Bath N Table,Sydney,56 Caroline Chisholm Dr,"Shop 56 Winston Hills Mall (Shop 56), Caroline Chisholm Drive",Bed Bath N Table,shorter,yes,,Check w/ Sri
See's Candies,See's Candies Chocolate Shop,chocolate shop,business_type,See's Candies Chocolate Shop,Jurupa Valley,"6205 Pats Ranch Road, Unit Ste G","6461 Pats Ranch Road, Vernola Marketplace",See's Candies,shorter,no,Google Maps,"Check w/ Sri, hard-coded base place type names as catch all"
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,location,Planet Fitness,Manassas,7680 Stream Walk Ln,7680 Stream Walk Ln,,,,,
Marshalls plc (Marshalls Mono Ltd.),Marshalls plc (Marshalls Mono Ltd.) Sittingbourne,sittingbourne,disambiguation,Marshalls plc (Marshalls Mono Ltd.),Sittingbourne,Castle Road,Castle Road,,,,,
Easton Town Center,Easton Town Center Columbus Ohio,columbus ohio,location,Easton Town Center,Columbus,,160 Easton Town Ctr,,,,,
Kumon Math and Reading Center,Kumon Math and Reading Center of Royersford,of royersford,location,Kumon Math and Reading Center,Limerick Twp,329 10th Ave,329 10TH Ave Ste #135,,,,,
Virtual Sting,Virtual Sting Richmond Hill,richmond hill,location,Virtual Sting,Richmond Hill,9737 Yonge St. #204,"9737 Yonge street, #204",,,,,
JOE & THE JUICE,JOE & THE JUICE - Schifflände,schifflande,disambiguation,JOE & THE JUICE,Zürich,Schifflände 26,Schifflände 26,JOE & THE JUICE,shorter,yes,,"Check w/ Sri, not Google Maps"
Red Wing,"Red Wing - Roswell, GA",roswell ga,location,Red Wing,Roswell,875 Mansell Rd B1,875 Mansell Rd Ste B1,Red Wing,shorter,yes,,"Check w/ Sri, not Google Maps"
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,location,Monkey Puzzle Day Nursery,London,445 Norwood Road,445 Norwood Road,Monkey Puzzle Day Nursery,shorter,yes,,Check w/ Sri
Boost Mobile,Boost Mobile Local Moline,local moline,location,Boost Mobile,Moline,1998 1st Street A,1998 1st St,,,,,
Village Medical,Village Medical at Walgreens,at walgreens,disambiguation,Village Medical,Cypress,14317 Cypress Rosehill Rd,14317 Cypress Rosehill Rd,,,,,
APEC Hospital de la Ceguera,Apec Hospital De La Ceguera Azcapotzalco,azcapotzalco,location,APEC Hospital de la Ceguera,,Av. Azcapotzalco 552,Manuel Acuña 3,,,,,
First National Bank,First National Bank - Pottsville,pottsville,location,First National Bank,Pottsville,396 S Centre St,396 S Centre St,First National Bank,shorter,yes,"Brand website, Google Maps",Check w/ Sri
Heartland Mortgage Inc - Bobbie Jo Haggard,"Heartland Mortgage Inc. / Bobbie Jo Haggard, NMLS 92472",nmls 92472,noise,Heartland Mortgage Inc - Bobbie Jo Haggard,Walla Walla,30 S Palouse St,30 S Palouse St,,,,,
"Eric Cohen, MD","Eric Cohen, MD - ENT Doctor",ent doctor,disambiguation,"Eric Cohen, MD",New York,620 Columbus Ave 2nd Fl,620 Columbus Ave 2nd Fl,"Eric Cohen, MD - ENT Doctor",longer,no,Google Maps,"Check w/ Sri, hard-coded, format?"
