short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"The extra content ""queretaro"" is a city name in Mexico, making this a location qualifier that disambiguates which Vape Haus store is being referenced.",1,12.72
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,noise,high,"The extra content ""FACOG"" are professional credentials appended to a personal name, which adds no semantic value about what kind of medical practice or location Dr. Hunt works at, but rather is an indication of her qualifications.",1,47.15
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"The extra content ""torreon"" is a Mexican city name, making this a geographic location qualifier that disambiguates which Hamburguesas al Carbon is being referenced.",1,47.43
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,location,high,"The extra content ""jb"" is a likely abbreviation or acronym for a location, specifically Johor Bahru in Malaysia, serving as a geographic qualifier that disambiguates which branch of Vighna Bamboo Briyani this refers to.",1,49.47
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,noise,high,"The extra content ""p penasco"" is likely a person's initials or name, which appears to be appended to the business name, indicating it might not add any essential semantic value regarding the nature of the florist shop itself but rather personalizes or distinguishes one owner from another.",0,50.61
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,disambiguation,high,"The extra content ""at bourbon brothers"" identifies a specific service or affiliation (Bourbon Brothers) that disambiguates which Boot Barn Hall is being referenced, rather than describing what kind of place Boot Barn Hall is.",1,49.75
Atm,ATM (Post Office),post office,latin,disambiguation,business_type,high,"The extra content ""post office"" directly describes what kind of service or business location this ATM is, specifying that it's a post office-located ATM.",0,37.94
Marathon Gas,Marathon Gas & DQ,dq,latin,disambiguation,business_type,medium,"The extra content ""dq"" is likely referring to a convenience store or service that co-locates with Marathon Gas, but it doesn't add a new business type or location qualifier—instead, it suggests an integrated retail offering.",0,12.28
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,latin,location,location,high,"The extra content ""manassas va"" is a geographic location qualifier, specifically mentioning a city and state, which typically serves as directory noise rather than essential descriptive information about what kind of business Planet Fitness is.",1,14.49
Raising Cane's,Raising Cane's Chicken Fingers,chicken fingers,latin,business_type,business_type,high,"The extra content ""chicken fingers"" directly describes what kind of food this restaurant serves, making it a description of the business type or category of establishment that Raising Cane's is.",1,13.06
La Azotea,La Azotea Terraza,terraza,latin,business_type,business_type,high,"The extra content ""terraza"" describes a physical aspect of the establishment, specifically that it has an outdoor rooftop area (""terrazza""), making this a classification under business_type.",1,11.77
bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,latin,disambiguation,disambiguation,high,"The extra content ""webentwicklung & itinfrastruktur"" is listing a service or skill list that the IT company ""bergwerk IT GmbH"" offers, without describing what kind of business they are or specifying a geographic location—this is a marketing tagline or descriptor for their services.",1,14.07
Hospital São Domingos,Hospital São Domingos- Exames,exames,latin,disambiguation,disambiguation,high,"The extra content ""exames"" translates to ""exams"" or ""tests"", which are services offered by a medical facility, but it doesn't describe what kind of hospital or facility Hospital São Domingos is; rather, it specifies a service type.",1,48.69
Parc Clichy-Batignolles,Parc Clichy-Batignolles Martin Luther King,martin luther king,latin,location,location,high,"The extra content ""martin luther king"" is a famous person's name, used as a geographic qualifier within the park's name. This type of information is usually directory noise.",1,48.79
Canal Video,Canal Vidéo Laryan 82 Franchisé indépendant,laryan 82 franchise independant,latin,disambiguation,disambiguation,high,"The extra content ""laryan 82 franchise independant"" identifies a specific branch or representative of Canal Vidéo (a type of business), making this a disambiguation that specifies organizational affiliation without describing what kind of place this is.",1,52.17
Calico Jacks,Calico Jack's Bistro,bistro,latin,business_type,business_type,high,"The extra content ""bistro"" directly describes what kind of place Calico Jack's is, making it essential descriptive information about what kind of establishment this is.",1,51.7
Over The Rainbow,Over the Rainbow Limited,limited,latin,disambiguation,business_type,high,"The extra content ""limited"" is a corporate notation indicating that Over The Rainbow is a limited company, which describes what kind of business entity this is.",0,47.07
Colourfence Garden Fencing,ColourFence Garden Fencing - Isle Of Wight,isle of wight,latin,location,location,high,"The extra content ""isle of wight"" is a geographic location, specifically an island name in the UK, making this a classic example of directory noise that can be ignored.",1,37.95
Leonora Rose,Leonora Rose Florists,florists,latin,business_type,business_type,high,"The extra content ""florists"" directly describes the business type or category of establishment that ""Leonora Rose"" is, making it essential descriptive information about what kind of place this is.",1,12.97
Service Neon,Service Neon di Cateni Riccardo,di cateni riccardo,latin,disambiguation,noise,high,"The extra content ""di cateni riccardo"" appears to be a professional/ownership notation indicating that Cateni Riccardo is somehow associated or owns Service Neon, without providing information about what kind of business it is.",0,14.33
Wing Sing,Wing Sing Bar,bar,latin,business_type,business_type,high,"The extra content ""bar"" directly describes what kind of place Wing Sing is, indicating a specific type of business establishment.",1,44.41
Spectron Desarrollo,Spectron Desarrollo S.C.,sc,latin,noise,noise,high,"The extra content ""sc"" is a notation indicating that Spectron Desarrollo is a Mexican Sociedad Civil (Civil Society), which is boilerplate adding no essential information about what kind of place this is but rather administrative details.",1,49.31
Charleston Civic Center,Charleston Civic Center Ice Arena,ice arena,latin,business_type,business_type,high,"The extra content ""ice arena"" directly describes what kind of facility the Charleston Civic Center is, indicating that it serves as an ice rink or hockey venue.",1,290.17
Hotel Olimpia,Hotel Olimpia  Silvi Marina TE,silvi marina te,latin,location,location,high,"The extra content ""silvi marina te"" is a specific geographic location, identifying both the city (""Silvi Marina"") and region/state (""TE""), acting as a disambiguating factor rather than describing what kind of business Hotel Olimpia is.",1,52.36
Murphy USA,Murphy USA #6583,6583,latin,disambiguation,noise,high,"The extra content ""6583"" is a numeric identifier or license number, which adds no semantic value about what kind of place Murphy USA is—it's merely an administrative detail.",0,53.53
Home Instead,Home Instead Senior Care,senior care,latin,business_type,business_type,high,"The extra content ""senior care"" directly describes what kind of service or business Home Instead provides, making it essential descriptive information about what this place is.",1,97.38
Forst und Garten,Forst und Garten Diehl,diehl,latin,disambiguation,disambiguation,high,"The extra content ""diehl"" identifies a specific owner or branch within the company ""Forst und Garten"", without describing what kind of business it is, making this a case of organizational/personnel affiliation.",1,49.77
The Flying Locksmiths,The Flying Locksmiths - Los Angeles West,los angeles west,latin,location,location,high,"The extra content ""los angeles west"" is a geographic qualifier identifying a specific location (city, neighborhood) where The Flying Locksmiths has a branch or presence.",1,49.91
Lonches Amparito,Lonches Amparito Tránsito,transito,latin,location,location,high,"The extra content ""transito"" is a Spanish word that means ""traffic"" or ""crossing"", but in this context, it likely refers to a street or location name associated with traffic control, rather than describing what kind of business Lonches Amparito is.",1,54.86
En-spire Nutrition,En-spire Nutrition Centennial,centennial,latin,location,location,high,"The extra content ""centennial"" is a geographic qualifier identifying the specific city location of En-spire Nutrition, which is a common practice to provide location information for businesses.",1,55.25
Auto Stark,Auto Stark Acessórios Automotivo,acessorios automotivo,latin,business_type,business_type,high,"The extra content ""acessorios automotivo"" describes what kind of place Auto Stark is, specifically a type of business that deals with automotive accessories.",1,48.82
Kyle Citty,"Kyle Citty, M.D.",md,latin,noise,noise,high,"The extra content ""md"" is a professional credential appended to the personal name, which adds no semantic value to distinguishing this person as a medical doctor.",1,47.82
Työväen Akatemia,Työväen Akatemian kirjasto,n kirjasto,latin,business_type,disambiguation,high,"The extra content ""n kirjasto"" translates to ""library"", which identifies a specific service or department within Työväen Akatemia, making it a disambiguation of what this establishment offers.",0,42.37
Craig Bagley,Craig Bagley - State Farm Insurance Agent,state farm insurance agent,latin,business_type,disambiguation,high,"The extra content ""state farm insurance agent"" identifies a specific affiliation of Craig Bagley within the State Farm organization, indicating that he is an authorized representative or agent for State Farm Insurance.",0,12.39
Andy Allain - Thrivent,Andy Allain - Thrivent Financial,financial,latin,business_type,business_type,high,"The extra content ""financial"" describes what kind of place this is, specifically a financial service provider, which is an essential characteristic of the business.",1,12.14
Tractor Supply,Tractor Supply Co.,co,latin,noise,noise,high,"The extra content ""co"" is a common abbreviation used in business names, often denoting a company or corporation. However, it adds no semantic value to identify what kind of place Tractor Supply Co. is or its location.",1,11.71
Mary Print,Mary Print Sardegna,sardegna,latin,location,location,high,"The extra content ""sardegna"" is a geographic qualifier identifying an Italian island, which adds no essential information about what kind of business this is but rather provides location context.",1,50.08
Cella Café,Cella Café Bar & Restaurant,bar restaurant,latin,business_type,business_type,high,"The extra content ""bar restaurant"" describes what kind of establishment or facilities Cella Café has, which is an essential piece of information about its offerings.",1,55.76
Floripa Sucos,Floripa Sucos e Lanches,e lanches,latin,business_type,business_type,high,"The extra content ""e lanches"" is a Portuguese phrase that translates to ""and sandwiches"", which describes what kind of business Floripa Sucos is, indicating it's a type of food establishment that also serves sandwiches.",1,52.5
Green Leaf's,Green Leaf's Beyond Great Salads,beyond great salads,latin,business_type,business_type,high,"The extra content ""beyond great salads"" describes what kind of place this is, specifically a type of restaurant or food establishment.",1,52.27
Wayne Cooley - COUNTRY Financial,Wayne Cooley - COUNTRY Financial representative,representative,latin,disambiguation,disambiguation,high,"The extra content ""representative"" identifies a specific role or affiliation of Wayne Cooley within COUNTRY Financial, indicating it's not describing what kind of business COUNTRY Financial is but rather specifying who is associated with this particular instance.",1,51.68
Code Ninjas,Code Ninjas Virginia Beach,virginia beach,latin,location,location,high,"The extra content ""virginia beach"" is a geographic location qualifier identifying the city where this Code Ninjas branch is located.",1,36.95
Barnegat Bay Financial Group,Barnegat Bay Financial Group - Raymond James Office,raymond james office,latin,disambiguation,disambiguation,high,"The extra content ""raymond james office"" identifies a specific organizational affiliation that distinguishes this branch or representative of Barnegat Bay Financial Group, without describing what kind of business it is or specifying a geographic location.",1,13.53
West Herr Cadillac,West Herr Cadillac of East Aurora,of east aurora,latin,location,location,high,"The extra content ""of east aurora"" is a geographic location qualifier identifying the specific city location of this car dealership, making it directory noise that doesn't add essential information about what kind of place West Herr Cadillac is.",1,13.04
Academia Performance,Academia Performance & Saúde,saude,latin,business_type,business_type,high,"The extra content ""saude"" is a Portuguese word for health, which is a concept related to wellness and fitness, not specifically identifying what kind of place Academia Performance is.",1,53.38
American Printing,American Printing Unlimited,unlimited,latin,disambiguation,business_type,high,"The extra content ""unlimited"" likely indicates a business model or service offering rather than describing what kind of place American Printing is, making it a characteristic that describes this specific entity.",0,58.22
Batteries Plus,Batteries Plus Bulbs,bulbs,latin,business_type,business_type,high,"The extra content ""bulbs"" directly describes a specific product or service offered by Batteries Plus, indicating that this is a business type categorization based on what kind of products they sell.",1,53.31
Marine Corps Exchange,Marine Corps Exchange (MCX),mcx,latin,disambiguation,disambiguation,medium,"The extra content ""MCX"" is likely an abbreviation or acronym of a service offered by the Marine Corps Exchange, but given the parentheses around it in the long name, it's more reasonable to assume that MCX stands for something (the Marine Corps Exchanges themselves, perhaps?) and thus doesn't disambiguate which one.",1,56.75
Dias Park,Dias Park Estacionamento,estacionamento,latin,business_type,business_type,high,"The extra content ""estacionamento"" translates to ""parking lot"" or ""parking garage"", which describes what kind of facility Dias Park is, making it essential descriptive information about the type of place this is.",1,48.84
Results Physiotherapy,"Results Physiotherapy Nashville, Tennessee - West",nashville tennessee west,latin,location,location,high,"The extra content ""Nashville, Tennessee - West"" is a geographic location qualifier that includes both city and state names, as well as an additional directional descriptor (""West""), which indicates a neighborhood or district within Nashville.",1,42.85
Momo and Co.,Momo and Co. Design,design,latin,business_type,business_type,high,"The extra content ""design"" describes what kind of business or service Momo and Co. provides, making it essential descriptive information about what kind of place this is.",1,12.54
The Vineyard Church,The Vineyard Church Bloomington-Normal,bloomingtonnormal,latin,location,location,high,"The extra content ""bloomington-normal"" is a geographic location, specifically the names of two adjacent cities in Illinois, making it a qualifier that disambiguates which Vineyard Church is being referenced.",1,12.71
Full Steam,Full Steam Tromso,tromso,latin,location,location,high,"The extra content ""tromso"" is a geographic location qualifier, specifically naming a city in Norway.",1,10.95
Poorvika Mobiles,Poorvika Mobiles Cuddalore - Opp to Bus Stand,cuddalore opp to bus stand,latin,noise,location,high,"The extra content ""cuddalore opp to bus stand"" includes a geographic location (""Cuddalore"") which is a city or town name, making this a location qualifier that disambiguates but is not essential to identifying the business.",0,47.86
Industria Pizzeria,Industria Pizzeria + Bar,bar,latin,business_type,business_type,high,"The extra content ""bar"" is a description of what kind of service or feature the pizzeria has, making it clear that this is a specific business type or category of establishment.",1,52.64
Black Mamba Barber Shop & Tatto,Black Mamba Barbershop & Tattoo | Nezahualcóyotl,black mamba barbershop tattoo nezahualcoyotl,latin,business_type,disambiguation,medium,"The extra content ""black mamba barbershop tattoo nezahualcoyotl"" is a mix of descriptive phrases that attempt to describe what kind of business Black Mamba is, but the presence of the specific location ""Nezahualcóyotl"" indicates that it's likely intended as a disambiguation rather than solely describing the business type.",0,51.95
Good Morning Children,Good Morning Children Limited,limited,latin,disambiguation,business_type,high,"The extra content ""limited"" is a corporate identifier describing the legal status of the company, which directly describes what kind of business entity this is.",0,55.3
Kip McGrath,Kip McGrath Hammersmith,hammersmith,latin,location,disambiguation,high,"The extra content ""hammersmith"" is a geographic location qualifier that identifies the specific Hammersmith branch of Kip McGrath, making this a case where the longer name adds disambiguating information about the location of the tutoring center.",0,50.17
Volker Rentel GmbH,Volker Rentel GmbH Heizung- und Sanitärtechnik,heizung und sanitartechnik,latin,business_type,business_type,high,"The extra content ""heizung und sanitartechnik"" directly describes what kind of place this is, specifically a plumbing supply store.",1,39.27
Hanger Clinic,Hanger Clinic: Prosthetics & Orthotics,prosthetics orthotics,latin,business_type,business_type,high,"The extra content ""prosthetics orthotics"" directly describes what kind of services this Hanger Clinic provides, making it essential descriptive information about the type of establishment that ""Hanger Clinic"" is.",1,13.62
Esfiha Chic,Esfiha Chic - Vila Arcádia,vila arcadia,latin,location,location,high,"The extra content ""vila arcadia"" is a location name, specifically a neighborhood (Vila Arcádia), adding a geographic qualifier to the core place name ""Esfiha Chic"".",1,14.16
Cerrajeria Lionel,Cerrajería Lionel Centrito,centrito,latin,location,disambiguation,high,"The extra content ""centrito"" appears to be a company name or brand associated with Cerrajería Lionel, rather than describing what kind of business Cerrajería Lionel is or specifying a geographic location.",0,66.99
The Fairways at San Marcos,The Fairways at San Marcos Apartments,apartments,latin,business_type,business_type,high,"The extra content ""apartments"" describes what kind of place or establishment The Fairways at San Marcos is, indicating that it's a specific type of dwelling.",1,57.98
UBS Vila Elvira,UBS Vila Elvira - São José Do Rio Preto,sao jose do rio preto,latin,location,location,high,"The extra content ""sao jose do rio preto"" is a geographic location qualifier, specifically the name of a city in Brazil. This adds no essential semantic value beyond identifying where this UBS branch is located.",1,48.47
Elite Picture Framing,Elite Picture Framing Adelaide,adelaide,latin,location,location,high,"The extra content ""adelaide"" is a city location qualifier that disambiguates which Elite Picture Framing establishment this is, indicating it's located in Adelaide.",1,50.48
Aldak GmbH,ALDAK GmbH VIBRATIONSTECHNIK,vibrationstechnik,latin,business_type,business_type,high,"The extra content ""vibrationstechnik"" describes a specific area of expertise or business category that ALDAK GmbH operates in, which is essential to understanding what kind of company this is.",1,52.31
Centro Comunitário,Centro Comunitario Taiaçu,taiacu,latin,location,location,high,"The extra content ""taiaçu"" is a geographic location or city name, specifically identifying which community center this is, making it a qualifier that disambiguates which Centro Comunitário is being referenced.",1,45.35
Dercole Pneumatici,Dercole Pneumatici Autofficina Castrol Service,autofficina castrol service,latin,business_type,disambiguation,high,"The extra content ""autofficina castrol service"" identifies a specific type of service or affiliation (Castrol Service) within Dercole Pneumatici, but this does not provide information on what kind of place it is (it's already known to be an auto parts shop) and does not specify a location.",0,16.31
Hollyhock Hill,Hollyhock Hill Restaurant,restaurant,latin,business_type,business_type,high,"The extra content ""restaurant"" directly describes what kind of business Hollyhock Hill is, which categorizes it as a specific type of establishment.",1,11.53
Management Factory Corporate Advisory GmbH,Management Factory Corporate Advisory GmbH - Valtus,valtus,latin,disambiguation,disambiguation,medium,"The extra content ""valtus"" appears to be a company name or brand, identifying a specific service or division of Management Factory Corporate Advisory GmbH.",1,18.49
Princeton Radiology,Princeton Radiology - Monroe,monroe,latin,location,location,high,"The extra content ""monroe"" is a location identifier, specifically a city name, making this a geographic location qualifier that disambiguates which Princeton Radiology location is being referenced.",1,13.05
Carquest Auto Parts,Carquest Auto Parts - Jerry's Auto Parts,jerrys auto parts,latin,disambiguation,disambiguation,high,"The extra content ""Jerry's Auto Parts"" identifies a specific branch or parallel brand of auto parts store, distinguishing it from Carquest Auto Parts without describing what kind of business it is.",1,50.87
Tempe Veterinary,Tempe Veterinary Hospital,hospital,latin,business_type,business_type,high,"The extra content ""hospital"" directly describes what kind of veterinary establishment this is, making it essential descriptive information about what kind of business this is.",1,50.0
Atm,ATM (Post Office),post office,latin,disambiguation,business_type,high,"The extra content ""post office"" directly describes what kind of establishment this ATM is, making it essential descriptive information about what kind of place this is.",0,48.77
Brooklyn Basketball Academy,Brooklyn Basketball Academy (BBA),bba,latin,disambiguation,noise,high,"The extra content ""bba"" seems to be a abbreviation of the Brooklyn Basketball Academy, which is likely an acronym that has been added as a parenthetical, but it's not providing any additional meaningful information about the type or location of the business.",0,51.4
Master Mechanic,Master Mechanic Pickering,pickering,latin,location,location,high,"The extra content ""pickering"" is a geographic location qualifier that identifies the city of Pickering, making it directory noise rather than essential information about what kind of business Master Mechanic is.",1,49.35
Boost Mobile,Boost Mobile Local Moline,local moline,latin,location,location,high,"The extra content ""local moline"" is a location qualifier that specifies the geographic area of this mobile phone service provider, indicating which branch or store of Boost Mobile.",1,39.1
Cookie Cutters Haircuts for Kids,Cookie Cutters Haircuts for Kids - Beverly Hills,beverly hills,latin,location,location,high,"The extra content ""beverly hills"" is a geographic location qualifier that specifically identifies the city where this children's haircuts business is located, making it directory noise to be removed.",1,13.53
Mail Boxes ETC.,Mail Boxes Etc. UK,uk,latin,location,location,high,"The extra content ""uk"" is a country code, making this a location qualifier that disambiguates which Mail Boxes ETC. is being referenced.",1,12.75
Learn And Play Montessori School,Learn and Play Montessori School - Peralta,peralta,latin,location,location,high,"The extra content ""peralta"" is a geographic location qualifier, specifically naming a district or neighborhood in which this Montessori school is located.",1,12.69
Liceo Scientifico Isacco Newton,Liceo Scientifico Isacco Newton (succursale),succursale,latin,disambiguation,disambiguation,high,"The extra content ""succursale"" is an Italian word for ""branch"", indicating that this Liceo Scientifico Isacco Newton is part of a larger organization, specifying its organizational affiliation.",1,16.29
Prestige de Menton,Prestige de Menton - Eau de Menton,eau de menton,latin,disambiguation,business_type,high,"The extra content ""eau de menton"" appears to be a description of a type or category of product sold at Prestige de Menton, specifically a fragrance or perfume.",0,15.77
ImmoWert Hessen,ImmoWert Hessen Carsten Nessler Sachverständige für Immobilien,carsten nessler sachverstandige fur immobilien,latin,disambiguation,disambiguation,high,"The extra content ""carsten nessler sachverstandige fur immobilien"" identifies a specific owner/representative (Carsten Nessler) and their professional service within the ImmoWert Hessen organization, without describing what kind of business ImmoWert is or specifying a geographic location—this specifies an organizational affiliation/personnel identifier.",1,18.18
United Promotions Inc,United Promotions Inc. Photo Lab,photo lab,latin,business_type,business_type,high,"The extra content ""photo lab"" describes what kind of business or service United Promotions Inc. offers, making it essential descriptive information about what kind of place this is.",1,14.11
The Home Depot,The Home Depot México,mexico,latin,location,location,high,"The extra content ""mexico"" is a country name, making this a geographic location qualifier that disambiguates which The Home Depot store or region is being referenced.",1,12.84
APEC Hospital de la Ceguera,Apec Hospital De La Ceguera Azcapotzalco,azcapotzalco,latin,location,location,high,"The extra content ""azcapotzalco"" is a neighborhood name in Mexico City, serving as a location qualifier that disambiguates which hospital this refers to.",1,14.71
Smartphone Solutions,Smartphone Solutions Sunbury,sunbury,latin,location,location,high,"The extra content ""sunbury"" is a geographic qualifier identifying the specific city location of Smartphone Solutions, which suggests that this is directory noise and can be safely removed to get back to the core name.",1,20.16
Vitality Integrated Programs,Vitality Integrated Programs (VIP),vip,latin,disambiguation,noise,high,"The extra content ""vip"" appears to be an acronym or abbreviation that stands for ""(Vitality Integrated Programs)"" in parentheses, suggesting it's a parenthetical identifier rather than providing additional semantic meaning.",0,13.12
See's Candies,See's Candies Chocolate Shop,chocolate shop,latin,business_type,business_type,high,"The extra content ""chocolate shop"" describes what kind of business See's Candies is, providing essential information about the type or category of establishment.",1,12.51
Bad & Meer,Bad & Meer Fachmarkt für Heizung & Sanitär,fachmarkt fur heizung sanitar,latin,business_type,business_type,high,"The extra content ""Fachmarkt für Heizung & Sanitär"" (or its transliteration) directly describes what KIND of place Bad & Meer is, specifically a store category or type that provides heating and sanitation supplies.",1,14.53
Royce Rolls,Royce Rolls Cafe,cafe,latin,business_type,business_type,high,"The extra content ""cafe"" describes what kind of place this is, specifying a type of establishment (cafe) that this location is.",1,11.97
Waterbury Career Academy,Waterbury Career Academy High School,high school,latin,business_type,business_type,high,"The extra content ""high school"" describes what kind of educational institution Waterbury Career Academy is, which makes it essential descriptive information about what this place is.",1,14.01
Village Medical,Village Medical at Walgreens,at walgreens,latin,disambiguation,disambiguation,high,"The extra content ""at Walgreens"" specifies an affiliation or partnership between Village Medical and the retail pharmacy chain, indicating that this is a specific branch or service offering within a larger organization.",1,18.02
Remington Heights,Remington Heights Retirement Community,retirement community,latin,business_type,business_type,high,"The extra content ""retirement community"" directly describes what kind of business Remington Heights is, making it essential descriptive information about what kind of place this is.",1,12.56
Vegano Bio,Vegano Bio - Shop Online Prodotti Vegani,shop online prodotti vegani,latin,noise,noise,high,"The extra content ""shop online prodotti vegani"" appears to be marketing information or boilerplate, as it describes a specific online channel or sales method rather than adding any semantic value about what Vegano Bio is.",1,16.69
De Giovannini,De Giovannini Secondo di Cozzi Pier Secondo,secondo di cozzi pier secondo,latin,disambiguation,disambiguation,high,"The extra content ""secondo di cozzi pier secondo"" appears to be a phrase indicating that De Giovannini is a second-generation descendant or successor of Pier Secondo Cozzi, which suggests an organizational/personnel affiliation rather than describing what kind of business this is or specifying a geographic location.",1,15.54
El Dorado Hills Sports Club,El Dorado Hills Sports Club and Spa,and spa,latin,business_type,business_type,high,"The extra content ""and spa"" describes what kind of services or amenities are offered at El Dorado Hills Sports Club, categorizing it as a specific type of business establishment.",1,13.8
Extended Stay America,Extended Stay America Los Angeles / Arcadia,los angeles arcadia,latin,location,location,medium,"The extra content ""los angeles arcadia"" is a geographic location qualifier, specifically mentioning two separate cities, but neither adds significant disambiguating information since the core name already implies a chain or type of lodging. However, it's more accurately classified as location because it describes a specific place where this Extended Stay America is located.",1,16.01
Oh My Goodness,Oh My Goodness OMG,omg,latin,disambiguation,noise,high,"The extra content ""omg"" appears to be an online-channel descriptor or a colloquial abbreviation, adding no semantic value beyond identifying an online presence of the business, which is common marketing boilerplate.",0,14.08
Miracle Mile Shops,Miracle Mile Shops At Planet Hollywood,at planet hollywood,latin,location,location,high,"The extra content ""at planet hollywood"" describes a venue or location where Miracle Mile Shops is situated, which is a location qualifier.",1,12.47
Blue Rhino,Blue Rhino Propane Exchange,propane exchange,latin,business_type,business_type,high,"The extra content ""propane exchange"" describes what kind of business Blue Rhino is, specifically a type of establishment related to propane sales or service.",1,13.9
Heartland Mortgage Inc - Bobbie Jo Haggard,"Heartland Mortgage Inc. / Bobbie Jo Haggard, NMLS 92472",nmls 92472,latin,noise,noise,high,"The extra content ""nmls 92472"" is a license number, which adds no semantic value beyond identifying regulatory compliance details about the representative Bobbie Jo Haggard.",1,15.8
Hotel Farol,Hotel Farol - Mosqueiro,mosqueiro,latin,location,location,high,"The extra content ""mosqueiro"" is a place name or geographic qualifier, specifically identifying a neighborhood or area within which Hotel Farol is located.",1,13.72
AdventHealth Medical Group Primary Care,AdventHealth Medical Group Primary Care at Brandon,at brandon,latin,location,location,high,"The extra content ""at brandon"" is a location-based phrase that disambiguates which specific medical group or facility this is, indicating the geographic location where the services are provided.",1,19.98
Eat Happy,Eat Happy Sushi & asiatische Spezialitäten,sushi asiatische spezialitaten,latin,business_type,business_type,high,"The extra content ""sushi asiatische spezialitäten"" is a description of what kind of food or cuisine is served at Eat Happy, which directly describes the business type or category of establishment that this is.",1,15.21
