short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
Canal Video,Canal Vidéo Laryan 82 Franchisé indépendant,laryan 82 franchise independant,latin,disambiguation,disambiguation,high,"The extra content ""Laryan 82 Franchisé indépendant"" disambiguates a specific branch or affiliation of Canal Vidéo, identifying it as an independent franchise.",1,3.42
Calico Jacks,Calico Jack's Bistro,bistro,latin,business_type,business_type,high,"The extra content ""bistro"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.88
Over The Rainbow,Over the Rainbow Limited,limited,latin,disambiguation,business_type,high,"The extra content ""limited"" is a business type notation, indicating that Over The Rainbow is a limited company.",0,2.66
Colourfence Garden Fencing,ColourFence Garden Fencing - Isle Of Wight,isle of wight,latin,location,location,high,"The extra content ""Isle of Wight"" is a location qualifier, specifically an island name.",1,2.61
Leonora Rose,Leonora Rose Florists,florists,latin,business_type,business_type,high,"The extra content ""florists"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.75
Service Neon,Service Neon di Cateni Riccardo,di cateni riccardo,latin,disambiguation,disambiguation,high,"The extra content ""di Cateni Riccardo"" disambiguates a specific individual associated with Service Neon, without being a place name or a business type.",1,3.15
Wing Sing,Wing Sing Bar,bar,latin,business_type,business_type,high,"The extra content ""bar"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.59
Spectron Desarrollo,Spectron Desarrollo S.C.,sc,latin,noise,noise,high,"The extra content ""S.C."" is a notation indicating a Mexican Sociedad Civil (Civil Association), which adds no semantic value to the core name.",1,2.82
Charleston Civic Center,Charleston Civic Center Ice Arena,ice arena,latin,business_type,business_type,high,"The extra content ""ice arena"" describes what KIND of place this is, identifying it as a specific type of venue or facility.",1,2.69
Hotel Olimpia,Hotel Olimpia  Silvi Marina TE,silvi marina te,latin,location,location,high,"The extra content ""Silvi Marina TE"" is a location qualifier, specifically a city or town name.",1,2.46
Murphy USA,Murphy USA #6583,6583,latin,disambiguation,noise,high,"The extra content ""6583"" appears to be a license number or identification code, which adds no semantic value and is simply boilerplate.",0,2.74
Home Instead,Home Instead Senior Care,senior care,latin,business_type,business_type,high,"The extra content ""senior care"" describes what KIND of business this is, identifying it as a specific type of service provided by Home Instead.",1,2.82
Forst und Garten,Forst und Garten Diehl,diehl,latin,disambiguation,disambiguation,high,"The extra content ""Diehl"" is a family name or surname, which suggests that it identifies a specific branch or owner of the company.",1,2.89
The Flying Locksmiths,The Flying Locksmiths - Los Angeles West,los angeles west,latin,location,location,high,"The extra content ""Los Angeles West"" is a location qualifier, specifically a neighborhood or regional name.",1,2.59
Lonches Amparito,Lonches Amparito Tránsito,transito,latin,location,location,high,"The extra content ""transito"" is a location qualifier, specifically identifying a type of place or service.",1,2.48
En-spire Nutrition,En-spire Nutrition Centennial,centennial,latin,location,location,high,"The extra content ""centennial"" is a location qualifier, specifically a city name.",1,2.29
Auto Stark,Auto Stark Acessórios Automotivo,acessorios automotivo,latin,business_type,noise,high,"The extra content ""Acessórios Automotivo"" is listing boilerplate that adds no semantic value, being a marketing description of what the business sells.",0,2.89
Kyle Citty,"Kyle Citty, M.D.",md,latin,noise,noise,high,"The extra content ""M.D."" is a professional credential appended to a personal name, which adds no semantic value beyond identifying a characteristic of the individual.",1,2.81
Työväen Akatemia,Työväen Akatemian kirjasto,n kirjasto,latin,business_type,location,high,"The extra content ""n kirjasto"" means ""library of"" in Finnish, which is a location qualifier.",0,2.66
Craig Bagley,Craig Bagley - State Farm Insurance Agent,state farm insurance agent,latin,business_type,disambiguation,high,"The extra content ""State Farm Insurance Agent"" disambiguates a specific branch or affiliation of Craig Bagley, identifying him as an agent for State Farm Insurance.",0,3.06
Andy Allain - Thrivent,Andy Allain - Thrivent Financial,financial,latin,business_type,business_type,high,"The extra content ""financial"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.58
Tractor Supply,Tractor Supply Co.,co,latin,noise,noise,high,"The extra content ""Co."" is a notation indicating corporate or company status, which does not provide any additional semantic value to distinguish Tractor Supply from other companies.",1,2.89
Mary Print,Mary Print Sardegna,sardegna,latin,location,location,high,"The extra content ""sardegna"" is a place name — specifically, it's the name of an Italian island or region.",1,2.65
Cella Café,Cella Café Bar & Restaurant,bar restaurant,latin,business_type,business_type,high,"The extra content ""bar restaurant"" describes what KIND of place this is, listing multiple types of establishments.",1,2.49
Floripa Sucos,Floripa Sucos e Lanches,e lanches,latin,business_type,noise,high,"The extra content ""e lanches"" appears to be listing boilerplate that adds no semantic value, as it is a combination of Portuguese words meaning ""and snacks"", which does not provide any specific information about the type of place or its characteristics.",0,3.97
Green Leaf's,Green Leaf's Beyond Great Salads,beyond great salads,latin,business_type,noise,high,"The extra content ""beyond great salads"" is a marketing tagline or descriptive phrase that adds no semantic value, describing the type of food served.",0,2.87
Wayne Cooley - COUNTRY Financial,Wayne Cooley - COUNTRY Financial representative,representative,latin,disambiguation,disambiguation,high,"The extra content ""representative"" disambiguates a specific individual associated with Wayne Cooley, without being a place name or a business type.",1,2.96
Code Ninjas,Code Ninjas Virginia Beach,virginia beach,latin,location,location,high,"The extra content ""Virginia Beach"" is a location qualifier, specifically a city name.",1,2.33
Barnegat Bay Financial Group,Barnegat Bay Financial Group - Raymond James Office,raymond james office,latin,disambiguation,disambiguation,high,"The extra content ""Raymond James Office"" is identifying a specific organizational affiliation or franchise/parallel brand associated with Barnegat Bay Financial Group, without being a place name or a business type.",1,3.52
West Herr Cadillac,West Herr Cadillac of East Aurora,of east aurora,latin,location,location,high,"The extra content ""of East Aurora"" is a location qualifier, specifically a city name.",1,2.41
Academia Performance,Academia Performance & Saúde,saude,latin,business_type,disambiguation,medium,"The extra content ""saude"" is a location qualifier or place name in Portuguese, but it appears to be translated as ""Saúde"", which means health, not a location.",0,3.28
American Printing,American Printing Unlimited,unlimited,latin,disambiguation,noise,medium,"The extra content ""unlimited"" describes a specific characteristic or attribute of American Printing, but it does not identify what kind of business it is.",0,2.92
Batteries Plus,Batteries Plus Bulbs,bulbs,latin,business_type,business_type,high,"The extra content ""bulbs"" describes what KIND of place this is, identifying it as a specific type of establishment that sells batteries and light bulbs.",1,2.98
Marine Corps Exchange,Marine Corps Exchange (MCX),mcx,latin,disambiguation,disambiguation,high,"The extra content ""MCX"" is an abbreviation or acronym that disambiguates a specific branch or affiliation of Marine Corps Exchange.",1,3.07
Dias Park,Dias Park Estacionamento,estacionamento,latin,business_type,business_type,high,"The extra content ""estacionamento"" translates to ""parking lot"" in English, which describes a specific service or feature of Dias Park.",1,3.17
Results Physiotherapy,"Results Physiotherapy Nashville, Tennessee - West",nashville tennessee west,latin,location,location,high,"The extra content ""Nashville, Tennessee - West"" is a location qualifier, specifically a city name along with its state and direction, which can be considered as directory noise.",1,3.19
Momo and Co.,Momo and Co. Design,design,latin,business_type,business_type,high,"The extra content ""design"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.65
The Vineyard Church,The Vineyard Church Bloomington-Normal,bloomingtonnormal,latin,location,location,high,"The extra content ""Bloomington-Normal"" is a location qualifier, specifically a city or region name.",1,2.58
Full Steam,Full Steam Tromso,tromso,latin,location,location,high,"The extra content ""tromso"" is a location qualifier, specifically a city name.",1,2.4
Poorvika Mobiles,Poorvika Mobiles Cuddalore - Opp to Bus Stand,cuddalore opp to bus stand,latin,noise,location,high,"The extra content ""Cuddalore - Opp to Bus Stand"" is a location qualifier, specifically a city name.",0,2.73
Industria Pizzeria,Industria Pizzeria + Bar,bar,latin,business_type,business_type,high,"The extra content ""bar"" is a type of service or feature offered by the establishment, which implies it's a business type.",1,2.77
Black Mamba Barber Shop & Tatto,Black Mamba Barbershop & Tattoo | Nezahualcóyotl,black mamba barbershop tattoo nezahualcoyotl,latin,business_type,location,medium,"The extra content ""Black Mamba Barbershop & Tattoo | Nezahualcóyotl"" appears to be a location, specifically the name of a place or city (""Nezahualcóyotl""), which is added to the core name.",0,4.09
Good Morning Children,Good Morning Children Limited,limited,latin,disambiguation,business_type,high,"The extra content ""Limited"" describes what KIND of company Good Morning Children is, indicating it's a specific type of business entity.",0,2.8
Kip McGrath,Kip McGrath Hammersmith,hammersmith,latin,location,location,high,"The extra content ""Hammersmith"" is a location qualifier, specifically a neighborhood or city name.",1,3.31
Volker Rentel GmbH,Volker Rentel GmbH Heizung- und Sanitärtechnik,heizung und sanitartechnik,latin,business_type,business_type,high,"The extra content ""Heizung- und Sanitärtechnik"" describes what KIND of business Volker Rentel GmbH is, identifying it as a specific type of service provider.",1,3.35
Hanger Clinic,Hanger Clinic: Prosthetics & Orthotics,prosthetics orthotics,latin,business_type,business_type,high,"The extra content ""Prosthetics & Orthotics"" describes what KIND of place this is, identifying it as a specific type of medical service.",1,4.01
Esfiha Chic,Esfiha Chic - Vila Arcádia,vila arcadia,latin,location,location,high,"The extra content ""Vila Arcádia"" is a location qualifier, specifically a neighborhood or area name.",1,2.53
Cerrajeria Lionel,Cerrajería Lionel Centrito,centrito,latin,location,business_type,high,"The extra content ""centrito"" is a business type, as it appears to be a marketing descriptor or brand name related to locksmithing services.",0,2.82
The Fairways at San Marcos,The Fairways at San Marcos Apartments,apartments,latin,business_type,business_type,high,"The extra content ""apartments"" describes what KIND of place this is, identifying it as a specific type of residential establishment.",1,2.7
UBS Vila Elvira,UBS Vila Elvira - São José Do Rio Preto,sao jose do rio preto,latin,location,location,high,"The extra content ""São José do Rio Preto"" is a location qualifier, specifically a city name.",1,2.63
Elite Picture Framing,Elite Picture Framing Adelaide,adelaide,latin,location,location,high,"The extra content ""Adelaide"" is a location qualifier, specifically a city name.",1,2.29
Aldak GmbH,ALDAK GmbH VIBRATIONSTECHNIK,vibrationstechnik,latin,business_type,business_type,high,"The extra content ""vibrationstechnik"" identifies a specific type of technology or product line associated with ALDAK GmbH, which suggests it's describing what kind of business this is.",1,3.28
Centro Comunitário,Centro Comunitario Taiaçu,taiacu,latin,location,location,high,"The extra content ""Taiaçu"" is a location qualifier, specifically a city name.",1,2.35
Dercole Pneumatici,Dercole Pneumatici Autofficina Castrol Service,autofficina castrol service,latin,business_type,disambiguation,medium,"The extra content ""Autofficina Castrol Service"" appears to be listing a service or affiliation, rather than providing essential information about what kind of place Dercole Pneumatici is.",0,3.38
Hollyhock Hill,Hollyhock Hill Restaurant,restaurant,latin,business_type,business_type,high,"The extra content ""restaurant"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.57
Management Factory Corporate Advisory GmbH,Management Factory Corporate Advisory GmbH - Valtus,valtus,latin,disambiguation,disambiguation,medium,"The extra content ""Valtus"" appears to be a service list or organizational affiliation associated with Management Factory Corporate Advisory GmbH, rather than being a place name or business type.",1,3.14
Princeton Radiology,Princeton Radiology - Monroe,monroe,latin,location,location,high,"The extra content ""Monroe"" is a location qualifier, specifically a place name that identifies a city or neighborhood.",1,2.53
Carquest Auto Parts,Carquest Auto Parts - Jerry's Auto Parts,jerrys auto parts,latin,disambiguation,disambiguation,high,"The extra content ""Jerry's Auto Parts"" disambiguates a specific branch or service list associated with Carquest Auto Parts.",1,2.78
Tempe Veterinary,Tempe Veterinary Hospital,hospital,latin,business_type,business_type,high,"The extra content ""hospital"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.57
Atm,ATM (Post Office),post office,latin,disambiguation,business_type,high,"The extra content ""post office"" identifies a specific type of establishment or service, which is a business type.",0,2.53
Brooklyn Basketball Academy,Brooklyn Basketball Academy (BBA),bba,latin,disambiguation,noise,medium,"The extra content ""BBA"" is likely an acronym or abbreviation, but it doesn't add any significant semantic value to distinguish the place name.",0,5.74
Master Mechanic,Master Mechanic Pickering,pickering,latin,location,location,high,"The extra content ""Pickering"" is a location qualifier, specifically a city or neighborhood name.",1,3.36
Boost Mobile,Boost Mobile Local Moline,local moline,latin,location,location,high,"The extra content ""Local Moline"" is a location qualifier, specifically a city name.",1,2.36
Cookie Cutters Haircuts for Kids,Cookie Cutters Haircuts for Kids - Beverly Hills,beverly hills,latin,location,location,high,"The extra content ""Beverly Hills"" is a location qualifier, specifically a city name.",1,2.5
Mail Boxes ETC.,Mail Boxes Etc. UK,uk,latin,location,location,high,"The extra content ""UK"" is a location qualifier, specifically a country name.",1,2.25
Learn And Play Montessori School,Learn and Play Montessori School - Peralta,peralta,latin,location,location,high,"The extra content ""Peralta"" is a location qualifier, specifically a city or neighborhood name.",1,2.41
Liceo Scientifico Isacco Newton,Liceo Scientifico Isacco Newton (succursale),succursale,latin,disambiguation,disambiguation,high,"The extra content ""succursale"" disambiguates a specific branch or location of the Liceo Scientifico Isacco Newton, indicating it's not the main office.",1,3.29
Prestige de Menton,Prestige de Menton - Eau de Menton,eau de menton,latin,disambiguation,business_type,high,"The extra content ""Eau de Menton"" is a phrase that describes the type of product offered by Prestige de Menton, which suggests it's a specific line or brand of perfume.",0,3.33
ImmoWert Hessen,ImmoWert Hessen Carsten Nessler Sachverständige für Immobilien,carsten nessler sachverstandige fur immobilien,latin,disambiguation,disambiguation,high,"The extra content ""Carsten Nessler Sachverständige für Immobilien"" disambiguates a specific individual (Carsten Nessler) associated with ImmoWert Hessen, identifying their professional role and affiliation.",1,3.7
United Promotions Inc,United Promotions Inc. Photo Lab,photo lab,latin,business_type,business_type,high,"The extra content ""photo lab"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.61
The Home Depot,The Home Depot México,mexico,latin,location,location,high,"The extra content ""México"" is a location qualifier, specifically a country name.",1,2.33
APEC Hospital de la Ceguera,Apec Hospital De La Ceguera Azcapotzalco,azcapotzalco,latin,location,location,high,"The extra content ""azcapotzalco"" is a location qualifier, specifically a neighborhood or district name.",1,2.66
Smartphone Solutions,Smartphone Solutions Sunbury,sunbury,latin,location,location,high,"The extra content ""sunbury"" is a location qualifier, specifically a city or neighborhood name.",1,2.38
Vitality Integrated Programs,Vitality Integrated Programs (VIP),vip,latin,disambiguation,noise,medium,"The extra content ""VIP"" appears to be an abbreviation or acronym, but it does not add any semantic value beyond what is already contained in the shorter name.",0,2.98
See's Candies,See's Candies Chocolate Shop,chocolate shop,latin,business_type,business_type,high,"The extra content ""chocolate shop"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.68
Bad & Meer,Bad & Meer Fachmarkt für Heizung & Sanitär,fachmarkt fur heizung sanitar,latin,business_type,business_type,high,"The extra content ""Fachmarkt für Heizung & Sanitär"" describes what KIND of place this is, identifying it as a specific type of establishment — a German plumbing supply store.",1,3.33
Royce Rolls,Royce Rolls Cafe,cafe,latin,business_type,business_type,high,"The extra content ""cafe"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.61
Waterbury Career Academy,Waterbury Career Academy High School,high school,latin,business_type,business_type,high,"The extra content ""high school"" describes what KIND of place this is, identifying it as a specific type of educational institution.",1,2.65
Village Medical,Village Medical at Walgreens,at walgreens,latin,disambiguation,disambiguation,high,"The extra content ""at Walgreens"" indicates a specific location or affiliation, but it's not a place name in itself, rather indicating where Village Medical is situated.",1,3.05
Remington Heights,Remington Heights Retirement Community,retirement community,latin,business_type,business_type,high,"The extra content ""retirement community"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.66
Vegano Bio,Vegano Bio - Shop Online Prodotti Vegani,shop online prodotti vegani,latin,noise,noise,high,"The extra content ""Shop Online Prodotti Vegani"" is listing boilerplate that adds no semantic value, as it describes an online channel descriptor.",1,2.9
De Giovannini,De Giovannini Secondo di Cozzi Pier Secondo,secondo di cozzi pier secondo,latin,disambiguation,disambiguation,high,"The extra content ""Secondo di Cozzi Pier Secondo"" disambiguates a specific branch or organizational affiliation associated with De Giovannini, indicating that it is part of a larger organization.",1,3.5
El Dorado Hills Sports Club,El Dorado Hills Sports Club and Spa,and spa,latin,business_type,noise,high,"The extra content ""and Spa"" is listing boilerplate that adds no semantic value, as it's a marketing descriptor rather than an identifying feature of the business.",0,2.89
Extended Stay America,Extended Stay America Los Angeles / Arcadia,los angeles arcadia,latin,location,noise,medium,"The extra content ""Los Angeles / Arcadia"" is a location qualifier, specifically names of cities, which suggests that this is noise or directory information.",0,2.81
Oh My Goodness,Oh My Goodness OMG,omg,latin,disambiguation,noise,medium,"The extra content ""OMG"" is a common abbreviation or acronym, but in this context it appears to be an attempt to add an additional business type, however it's not a clear description of what kind of place this is.",0,3.45
Miracle Mile Shops,Miracle Mile Shops At Planet Hollywood,at planet hollywood,latin,location,location,high,"The extra content ""at Planet Hollywood"" adds a location qualifier, identifying the host or parent entity of Miracle Mile Shops.",1,2.58
Blue Rhino,Blue Rhino Propane Exchange,propane exchange,latin,business_type,business_type,high,"The extra content ""propane exchange"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.65
Heartland Mortgage Inc - Bobbie Jo Haggard,"Heartland Mortgage Inc. / Bobbie Jo Haggard, NMLS 92472",nmls 92472,latin,noise,noise,high,"The extra content ""NMLS 92472"" is a license number, which adds no semantic value to the name.",1,2.7
Hotel Farol,Hotel Farol - Mosqueiro,mosqueiro,latin,location,location,high,"The extra content ""Mosqueiro"" is a location qualifier, specifically a place name.",1,2.34
AdventHealth Medical Group Primary Care,AdventHealth Medical Group Primary Care at Brandon,at brandon,latin,location,location,high,"The extra content ""at Brandon"" is a location qualifier, specifically an office or clinic location within a larger organization.",1,2.65
Eat Happy,Eat Happy Sushi & asiatische Spezialitäten,sushi asiatische spezialitaten,latin,business_type,business_type,high,"The extra content ""sushi & asiatische Spezialitäten"" describes what KIND of food or cuisine this establishment serves, identifying it as a specific type of eatery.",1,3.21
Wohnungsauflösungen Schenk,Wohnungsauflösungen Schenk Ankauf und Verkauf,ankauf und verkauf,latin,business_type,noise,high,"The extra content ""Ankauf und Verkauf"" does not provide essential information about what kind of business this is, but rather lists specific services offered by Wohnungsauflösungen Schenk.",0,3.38
