short_name,long_name,extra_content,city,alt_address,base_address,canonical_is_shorter,verification_sources,verification_notes
Jax Kar Wash,Jax Kar Wash - Royal Oak,royal oak,Royal Oak,27054 Woodward Ave,27054 Woodward Ave,,,
Casa de la Cultura,Casa de la Cultura Zapotlanejo,zapotlanejo,,Porfirio Díaz 40,Porfirio Díaz,,,
El Marlin,El marlin isla ixtapa,isla ixtapa,,,,,,
Hotel Farol,Hotel Farol - Mosqueiro,mosqueiro,Belém,"Pç. Princesa Izabel, 3295","Pç. Princesa Izabel, 3295",,,
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,Rockingham,4-6 Commodore Dr,4/4 Cessnock Way,,,
Uptown Cheapskate,Uptown Cheapskate Johns Creek,johns creek,Johns Creek,5900 State Bridge Rd Ste A1,5900 State Bridge Rd Ste A1,,,
Norfolk Royale Hotel,Norfolk Royale Hotel Bournemouth,bournemouth,Bournemouth,Richmond Hill,Richmond Hill,,,
St Michaels Church of England Infant School,St Michael's Church of England Infant School Maidstone,maidstone,,Douglas Rd,Douglas Rd,,,
Innovent GmbH,Innovent GmbH Greifswald,greifswald,Greifswald,Baustraße 32,Baustr. 32,,,
Victoria coiffure,Victoria Coiffure Florissant,florissant,Genève,Route de Florissant 62,Route de Florissant 62,,,
En-spire Nutrition,En-spire Nutrition Centennial,centennial,Centennial,8168 S Holly St,8168 S Holly St Ste B,,,
AdventHealth Medical Group Primary Care,AdventHealth Medical Group Primary Care at Brandon,at brandon,Brandon,428 W Brandon Blvd,428 W Brandon Blvd,,,
Doctors Care,Doctors Care - Bluffton,bluffton,Bluffton,64 Bluffton Rd,64 Bluffton Rd,,,
Mint House Greenville,Mint House Greenville - West End,west end,Greenville,366 Field St,366 Field St,,,
Circo Rolex,Circo Rolex los Mochis,los mochis,,,,,,
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,Puerto Peñasco,"Calle Constitución, De la Reforma,",avenida Constitución,,,
Mail Boxes Etc,Mail Boxes Etc. Greenwich,greenwich,London,151 Trafalgar Rd,151 Trafalgar Rd,,,
Fossil Store,"Fossil Store, Markville",markville,Markham,5000 Highway 7 East,"5000 Highway 7 East, #2125",,,
Auto Klinika d.o.o.,Auto Klinika doo Arandjelovac,arandjelovac,Aranđelovac,Vozda Karadjordja 97,Улица Вожда Карађорђа 97,,,
CSL Plasma,CSL Plasma Frankfurt,frankfurt,Frankfurt am Main,Stiftstraße 9,Stiftstraße 9-17,,,
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,Marseille,207 Route des Trois Lucs à la Valentine,207 Route des Trois Lucs à la Valentine,,,
Vape Haus,Vape Haus Queretaro,queretaro,Santiago de Querétaro,Calle Salvador Galván 47,Salvador Galván 20,,,
Master Mechanic,Master Mechanic Pickering,pickering,Pickering,1211 Kingston Road,1211 Kingston Road,,,
Nurse Next Door Senior Home Care Services,Nurse Next Door Senior Home Care Services - Calgary,calgary,Calgary,"4411 6 Street Southeast, #180",180 4411 6 Street SE,,,
Learn And Play Montessori School,Learn and Play Montessori School - Peralta,peralta,Fremont,4511 Peralta Blvd,4511 Peralta Blvd,,,
Poradnia Medycyny Pracy,"Poradnia Medycyny Pracy ""Jeżyce""",jezyce,Poznań,ulica Juliusza Słowackiego 43,Słowackiego 43,,,
Mary Print,Mary Print Sardegna,sardegna,,"Via Dei Gerani, SNC",Via dei Gerani,,,
Blake Fulenwider Chevrolet GMC,Blake Fulenwider Chevrolet GMC Eastland,eastland,Eastland,1245 E Main St,1245 E Main St,,,
Princeton Radiology,Princeton Radiology - Monroe,monroe,Jamesburg,9 Centre Dr,9 Centre Dr,,,
Cerrajeria Lionel,Cerrajería Lionel Centrito,centrito,San Pedro Garza García,Calle Río Colorado Oriente 200,Rio Colorado 200,,,
Lonches Amparito,Lonches Amparito Tránsito,transito,Guadalajara,Calle Félix Fulgencio Palavicini 2254,Félix Palaviccini 2254,,,
Dairy Queen,Dairy Queen Thailand,thailand,,,"ชั้น 3, 199,199/1,199/2 หมู่ 6 ตำบลเสาธงหิน อำเภอบางใหญ่",,,
Pousada das Flores.,Pousada Das Flores - Roraima,roraima,Boa Vista,"Avenida Via das Flores, 393","Via das Flores, 528",,,
Elite Picture Framing,Elite Picture Framing Adelaide,adelaide,Adelaide,24 Croydon Rd,32 Croydon Rd,,,
COINworKs Bitcoin ATM,COINworKs Bitcoin ATM Modesto,modesto,Modesto,1200 6th St,1200 6th St,,,
Clarkson Eyecare,Clarkson Eyecare Florida,florida,Riverview,3875 US-301 S,3875 US Highway 301 S Ste 5,,,
Auto Solutions,Auto Solutions Orlando,orlando,Orlando,1782 Lee Rd,1782 Lee Rd,,,
Pollo Feliz,Pollo Feliz Obregón,obregon,Ciudad Obregón,Calle California 142,Tabasco e Hidalgo,,,
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,Gustavo A Madero,Avenida Henry Ford 119,Henry Ford 105,,,
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,Pereira,Carrera 17 9-48,Cra 17 # 14-48,,,
Smartphone Solutions,Smartphone Solutions Sunbury,sunbury,Sunbury,90 Vineyard Rd,Shop 2 90 Vineyard road,,,
Full Steam,Full Steam Tromso,tromso,Tromsø,Søndre Tollbodgate 3,3 Søndre Tollbodgate,,,
Economy Fence Center,Economy Fence Center Tacoma,tacoma,Tacoma,3304 S 30th St,3304 S 30th St,,,
H&R Block,H&R Block Canada,canada,Port Hope,105 Peter St,"105 Peter St, #A",,,
The Home Depot,The Home Depot México,mexico,Cabo San Lucas,Calle Benito Juárez 75,Carretera Transpeninsular Benito Juarez Km. 6.5 Col,,,
Tiendas 3B,Tiendas 3B Centro,centro,Puebla,Calle 2 Norte 1600,3 Norte,,,
Smart Fit,Smart Fit México,mexico,Puebla,Calzada Zavaleta 50,Plazavaleta,,,
Instituto Andes,Instituto Andes Tuxtla,tuxtla,,Cumbres 1,Av. Cumbres 1,,,
Centro Comunitário,Centro Comunitario Taiaçu,taiacu,Taiaçu,"Avenida Bernardo da Fonseca, 390",Av João Bernardo da Fonseca,,,
Pet Supplies Plus,Pet Supplies Plus Inwood,inwood,Inwood,561 Burnside Ave,561 Burnside Ave,,,
Svensk Fastighetsförmedling,Svensk Fastighetsförmedling Eslöv,eslov,Eslöv,Västergatan 5,Stora Torg 8,,,
Snap Fitness,Snap Fitness Joppa,joppa,Joppa,413 Pulaski Hwy,413 Pulaski Hwy,,,
Sports Experts,Sports Experts Magog,magog,Magog,346 Rue Principale O,346 Rue Principale Ouest,,,
Olina Küchen,olina-Küchen Linz,olinakuchen linz,,Freistädter Str. 400,Freistädter Straße 400,,,
Just Law,Just Law Utah,utah,Salt Lake City,2040 E 3300 S Ste 3,2040 E 3300 S Ste 3,,,
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,Johor Bahru,10 Jalan Pertama,11 jalan pertama 5,,,
Mail Boxes ETC.,Mail Boxes Etc. UK,uk,London,4 Spring Bridge Road,"4 Spring Bridge Road, Ealing",,,
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,Madison,205 Colony Way,205 Colony Way,,,
Centre RNPC Avranches,Centre RNPC AVRANCHES (Quentin sur le homme),quentin sur le homme,Saint-Quentin-sur-le-Homme,2 Z.A. de Cromel,2 ZA de Cromel,,,
ComForCare Home Care,"ComForCare Home Care (Rancho Cucamonga, CA)",rancho cucamonga ca,Upland,600 N Mountain Ave,600 N Mountain Ave Ste B200,,,
PetSmart,PetSmart Folsom (East Bidwell),folsom east bidwell,Folsom,2705 E Bidwell St,2705 E Bidwell St,,,
