subtag,short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,action_label,action_pred,action_correct,extra_is_legal_form
descriptor,Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" specifies two geographic locations (towns in Surrey, England) that identify which branch or service area of the Bluebird Care franchise network is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""aina haina honolulu hi"" comprises geographic qualifiers—a neighborhood, city, and state—that specify the location of this Pieology franchise rather than describing what type of business it is.",1,keep_shorter,keep_shorter,1,False
descriptor,Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,disambiguation,disambiguation,medium,"The extra content ""viola cello"" expands the list of instruments offered by Gary Ritter's music services, describing the range of services and expertise without being a geographic location, business category descriptor, or organizational affiliation—it is service-line specification that distinguishes this particular offering.",1,keep_shorter,keep_shorter,1,False
descriptor,POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" is a French city name, serving as a geographic location qualifier to specify which branch of this pole dance studio is being referenced.",1,keep_shorter,keep_shorter,1,False
parenthetical,Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""colony way madison ms"" contains both a street name (Colony Way) and a geographic location (Madison, MS), which are location qualifiers used to specify which Schlotzsky's franchise branch this is.",1,keep_shorter,keep_shorter,1,False
descriptor,West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"The extra content ""rockingham"" is a geographic location identifier (a suburb in Western Australia), which disambiguates which West Coast Hi-Fi store is being referenced rather than describing what the business is.",1,keep_shorter,keep_shorter,1,False
descriptor,Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"The extra content ""queretaro"" is a Mexican state name that specifies the geographic location of this vape shop, functioning as a location-based qualifier rather than describing the business type.",1,keep_shorter,keep_shorter,1,False
descriptor,Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,disambiguation,noise,high,"The extra content ""facog"" is a professional credential abbreviation (Fellow of the American College of Obstetricians and Gynecologists) appended to a personal name, which is listing boilerplate that adds no semantic value beyond what ""MD"" already conveys.",0,keep_shorter,keep_shorter,1,False
descriptor,Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"The extra content ""torreon"" is a city name in Mexico, serving as a geographic location qualifier to identify which branch of this hamburger restaurant chain is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,location,high,"The extra content ""jb"" is an abbreviation for Johor Bahru, a city in Malaysia, serving as a geographic location qualifier to identify which branch of this restaurant establishment is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,location,high,"The extra content ""p penasco"" refers to Puerto Peñasco, a city in Sonora, Mexico, making this a geographic location qualifier that identifies which branch of this florist is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,disambiguation,high,"The extra content ""at bourbon brothers"" identifies a venue affiliation or co-located establishment, specifying where Boot Barn Hall operates rather than describing what it is or naming a geographic region—this is organizational/venue partnership information.",1,keep_shorter,keep_shorter,1,False
parenthetical,Atm,ATM (Post Office),post office,latin,disambiguation,location,medium,"The extra content ""post office"" specifies the organizational location or affiliation where this ATM is situated, indicating which institution operates or hosts this particular ATM rather than describing what type of business the ATM itself is.",0,keep_shorter,keep_shorter,1,False
descriptor,Marathon Gas,Marathon Gas & DQ,dq,latin,disambiguation,disambiguation,high,"The extra content ""dq"" refers to Dairy Queen, a co-branded establishment that identifies a parallel franchise or service offering at this location—it specifies what additional business operates at the same site without being a place name or primary business type descriptor.",1,keep_shorter,keep_shorter,1,False
descriptor,Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,latin,location,location,high,"The extra content ""manassas va"" specifies the city and state location of this Planet Fitness franchise, serving as a geographic qualifier to distinguish which branch is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,Raising Cane's,Raising Cane's Chicken Fingers,chicken fingers,latin,business_type,business_type,high,"The extra content ""chicken fingers"" describes the specific food product and business type/category that Raising Cane's specializes in, making it essential descriptive information about what kind of restaurant this is.",1,keep_longer,keep_longer,1,False
descriptor,La Azotea,La Azotea Terraza,terraza,latin,business_type,business_type,high,"The extra content ""terraza"" (terrace) describes a specific type or feature of the establishment—it indicates this is a rooftop terrace venue, which is essential information about what kind of place this is.",1,keep_longer,keep_longer,1,False
descriptor,bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,latin,disambiguation,disambiguation,medium,"The extra content ""webentwicklung itinfrastruktur"" (web development & IT infrastructure) lists specific services offered by the company rather than describing its business category, geographic location, or adding noise—it serves to distinguish this particular branch or service offering within the organization.",1,keep_shorter,keep_shorter,1,False
descriptor,Hospital São Domingos,Hospital São Domingos- Exames,exames,latin,disambiguation,disambiguation,medium,"The extra content ""exames"" (tests/examinations) describes a specific service or department offered by the hospital rather than identifying a location, business type category, or organizational affiliation—it narrows the focus to a particular medical service within the broader hospital facility.",1,keep_shorter,keep_shorter,1,False
descriptor,Parc Clichy-Batignolles,Parc Clichy-Batignolles Martin Luther King,martin luther king,latin,location,noise,medium,"The extra content ""martin luther king"" is a person's name appended as a naming designation or honorary reference, which functions as noise or a secondary naming convention rather than describing the business type, location, or meaningful disambiguation of the park itself.",0,keep_shorter,keep_shorter,1,False
descriptor,Canal Video,Canal Vidéo Laryan 82 Franchisé indépendant,laryan 82 franchise independant,latin,disambiguation,disambiguation,high,"The extra content ""laryan 82 franchisé indépendant"" identifies the specific franchise operator and independent franchisee status rather than describing the business type or a geographic location, making it organizational affiliation information.",1,keep_shorter,keep_shorter,1,False
descriptor,Calico Jacks,Calico Jack's Bistro,bistro,latin,business_type,business_type,high,"The extra content ""bistro"" directly describes the type of establishment that Calico Jack's is—a casual restaurant/bar concept—making it essential business type information about what kind of place this is.",1,keep_longer,keep_longer,1,False
descriptor,Over The Rainbow,Over the Rainbow Limited,limited,latin,disambiguation,noise,high,"The extra content ""limited"" is a legal company designation (Ltd./Limited) indicating corporate structure, which is standard boilerplate ownership notation that adds no semantic value about the business, its location, or what distinguishes this particular establishment.",0,keep_shorter,keep_shorter,1,True
descriptor,Colourfence Garden Fencing,ColourFence Garden Fencing - Isle Of Wight,isle of wight,latin,location,location,high,"The extra content ""isle of wight"" is a geographic location (an English island) that specifies where this particular franchise location of Colourfence is situated.",1,keep_shorter,keep_shorter,1,False
descriptor,Leonora Rose,Leonora Rose Florists,florists,latin,business_type,business_type,high,"The extra content ""florists"" directly describes the business type or category of establishment that ""Leonora Rose"" is, identifying what kind of commercial service this place provides.",1,keep_longer,keep_longer,1,False
descriptor,Service Neon,Service Neon di Cateni Riccardo,di cateni riccardo,latin,disambiguation,disambiguation,high,"The extra content ""di cateni riccardo"" identifies the owner or proprietor of the business (di = ""of"" in Italian), which is organizational/ownership affiliation rather than a geographic location, business type descriptor, or listing boilerplate.",1,keep_shorter,keep_shorter,1,False
descriptor,Wing Sing,Wing Sing Bar,bar,latin,business_type,business_type,high,"The extra content ""bar"" directly describes the business type or category of establishment that ""Wing Sing"" is, making it essential descriptive information about what kind of place this is.",1,keep_longer,keep_longer,1,False
descriptor,Spectron Desarrollo,Spectron Desarrollo S.C.,sc,latin,noise,noise,high,"The extra content ""sc"" is a legal entity designation (Sociedad Civil in Spanish/Mexican corporate law), which is boilerplate ownership notation that adds no semantic value to the place name itself.",1,keep_shorter,keep_shorter,1,False
descriptor,Charleston Civic Center,Charleston Civic Center Ice Arena,ice arena,latin,business_type,business_type,high,"The extra content ""ice arena"" describes the specific type or primary function of what the Charleston Civic Center is, providing essential information about what kind of facility it operates as.",1,keep_longer,keep_longer,1,False
descriptor,Hotel Olimpia,Hotel Olimpia  Silvi Marina TE,silvi marina te,latin,location,location,high,"The extra content ""silvi marina te"" contains a geographic location (Silvi Marina, a coastal town) and ""TE"" (the province abbreviation for Teramo in Italy), which are place-based qualifiers rather than descriptors of the business type.",1,keep_shorter,keep_shorter,1,False
descriptor,Murphy USA,Murphy USA #6583,6583,latin,disambiguation,noise,high,"The extra content ""#6583"" is a store or location identifier number—classic listing boilerplate used for inventory and directory management that adds no semantic value about what Murphy USA is or where it's located.",0,keep_shorter,keep_shorter,1,False
descriptor,Home Instead,Home Instead Senior Care,senior care,latin,business_type,business_type,high,"The extra content ""senior care"" describes the specific service type and business category that Home Instead provides, indicating what kind of care services this franchise offers.",1,keep_longer,keep_longer,1,False
descriptor,Forst und Garten,Forst und Garten Diehl,diehl,latin,disambiguation,disambiguation,medium,"The extra content ""diehl"" is a surname that identifies the owner or operator of this forestry and garden business, functioning as a personal name qualifier to distinguish this particular branch or proprietor rather than describing the business type or location.",1,keep_shorter,keep_shorter,1,False
descriptor,The Flying Locksmiths,The Flying Locksmiths - Los Angeles West,los angeles west,latin,location,location,high,"The extra content ""los angeles west"" is a geographic location qualifier that identifies which regional branch of The Flying Locksmiths franchise is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,Lonches Amparito,Lonches Amparito Tránsito,transito,latin,location,location,medium,"The extra content ""transito"" refers to a street or transit location name (possibly ""Calle Tránsito"" or a transit-adjacent area), functioning as a geographic qualifier to distinguish which Lonches Amparito location is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,En-spire Nutrition,En-spire Nutrition Centennial,centennial,latin,location,location,high,"The extra content ""centennial"" is a neighborhood or district name in the Denver, Colorado area, functioning as a geographic location qualifier to specify which En-spire Nutrition location is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,Auto Stark,Auto Stark Acessórios Automotivo,acessorios automotivo,latin,business_type,business_type,high,"The extra content ""acessorios automotivo"" (automotive accessories) describes the specific business type and product category that Auto Stark specializes in, providing essential information about what kind of automotive business this is.",1,keep_longer,keep_longer,1,False
descriptor,Kyle Citty,"Kyle Citty, M.D.",md,latin,noise,noise,high,"The extra content ""md"" is a professional credential appended to a personal name, representing listing boilerplate that adds no semantic value about what the place or business actually is or where it's located.",1,keep_shorter,keep_shorter,1,False
descriptor,Työväen Akatemia,Työväen Akatemian kirjasto,n kirjasto,latin,business_type,business_type,high,"The extra content ""n kirjasto"" (meaning ""library"" in Finnish) describes what type of facility or department this is within Työväen Akatemia, making it a business_type descriptor that specifies the nature of the establishment.",1,keep_longer,keep_longer,1,False
descriptor,Craig Bagley,Craig Bagley - State Farm Insurance Agent,state farm insurance agent,latin,business_type,disambiguation,high,"The extra content ""state farm insurance agent"" identifies Craig Bagley's organizational affiliation (State Farm) and professional role (insurance agent), functioning as a disambiguation that specifies which Craig Bagley this is rather than describing a business type or geographic location.",0,keep_longer,keep_shorter,0,False
descriptor,Andy Allain - Thrivent,Andy Allain - Thrivent Financial,financial,latin,disambiguation,business_type,high,"The extra content ""financial"" describes the business type or industry category that Thrivent operates in, indicating what kind of services this organization provides.",0,keep_shorter,keep_longer,0,False
descriptor,Tractor Supply,Tractor Supply Co.,co,latin,noise,noise,high,"The extra content ""co"" is a standard legal company designation (abbreviation for ""Company"") that is boilerplate ownership notation with no semantic value beyond formal corporate naming convention.",1,keep_shorter,keep_shorter,1,False
descriptor,Mary Print,Mary Print Sardegna,sardegna,latin,location,location,high,"The extra content ""sardegna"" is the Italian name for Sardinia, a geographic region, serving as a location qualifier to specify which Mary Print establishment is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,Cella Café,Cella Café Bar & Restaurant,bar restaurant,latin,business_type,business_type,high,"The extra content ""bar restaurant"" describes additional business types and service categories that Cella Café offers beyond its core café identity, providing essential information about what kinds of food and beverage services are available at this establishment.",1,keep_longer,keep_longer,1,False
descriptor,Floripa Sucos,Floripa Sucos e Lanches,e lanches,latin,business_type,business_type,high,"The extra content ""e lanches"" (and snacks) describes additional services/offerings of the business beyond juices, clarifying what types of food products this establishment provides.",1,keep_longer,keep_longer,1,False
descriptor,Green Leaf's,Green Leaf's Beyond Great Salads,beyond great salads,latin,noise,noise,medium,"The extra content ""beyond great salads"" is a marketing tagline and slogan that describes the restaurant's brand positioning and philosophy rather than identifying a business type, location, or organizational affiliation—it is promotional boilerplate with no semantic value.",1,keep_shorter,keep_shorter,1,False
descriptor,Wayne Cooley - COUNTRY Financial,Wayne Cooley - COUNTRY Financial representative,representative,latin,disambiguation,disambiguation,high,"The extra content ""representative"" identifies Wayne Cooley's organizational role within COUNTRY Financial without describing the business type or adding a geographic location—it clarifies his specific affiliation and position within the company.",1,keep_shorter,keep_shorter,1,False
descriptor,Code Ninjas,Code Ninjas Virginia Beach,virginia beach,latin,location,location,high,"The extra content ""virginia beach"" is a geographic location identifying the specific city where this franchise is located, which is a standard location-based qualifier rather than describing the business type or organizational affiliation.",1,keep_shorter,keep_shorter,1,False
descriptor,Barnegat Bay Financial Group,Barnegat Bay Financial Group - Raymond James Office,raymond james office,latin,disambiguation,disambiguation,high,"The extra content ""raymond james office"" identifies the parent company or organizational affiliation (Raymond James) under which this financial group operates, indicating a franchise or corporate relationship rather than describing the business type or location.",1,keep_shorter,keep_shorter,1,False
descriptor,West Herr Cadillac,West Herr Cadillac of East Aurora,of east aurora,latin,location,location,high,"The extra content ""of east aurora"" is a geographic location qualifier identifying the specific city where this Cadillac dealership franchise is situated.",1,keep_shorter,keep_shorter,1,False
descriptor,Academia Performance,Academia Performance & Saúde,saude,latin,business_type,business_type,high,"The extra content ""saúde"" (health) expands the business type description from just ""Performance"" to ""Performance & Health,"" clarifying the dual service focus of the establishment.",1,keep_longer,keep_longer,1,False
descriptor,American Printing,American Printing Unlimited,unlimited,latin,disambiguation,noise,medium,"The extra content ""unlimited"" is a marketing tagline or brand modifier that does not describe the business type, location, or organizational affiliation—it is boilerplate branding language added to the company name without semantic value.",0,keep_shorter,keep_shorter,1,True
descriptor,Batteries Plus,Batteries Plus Bulbs,bulbs,latin,business_type,business_type,high,"The extra content ""bulbs"" expands the product category description of what Batteries Plus sells, making it a business type descriptor that clarifies the range of merchandise this retailer offers.",1,keep_longer,keep_longer,1,False
parenthetical,Marine Corps Exchange,Marine Corps Exchange (MCX),mcx,latin,disambiguation,noise,high,"The extra content ""mcx"" is an acronym/abbreviation for the same entity already named in the short form, functioning as listing boilerplate that adds no new semantic value—it is a redundant reference notation rather than descriptive information.",0,keep_shorter,keep_shorter,1,False
descriptor,Dias Park,Dias Park Estacionamento,estacionamento,latin,business_type,business_type,high,"The extra content ""estacionamento"" (Portuguese for ""parking lot"" or ""parking facility"") directly describes the business type or category of what Dias Park is, making it essential descriptive information about the nature of the establishment.",1,keep_longer,keep_longer,1,False
descriptor,Results Physiotherapy,"Results Physiotherapy Nashville, Tennessee - West",nashville tennessee west,latin,location,location,high,"The extra content ""nashville tennessee west"" comprises geographic qualifiers (city, state, and directional descriptor) that identify the location of this physiotherapy branch rather than describing the business type.",1,keep_shorter,keep_shorter,1,False
descriptor,Momo and Co.,Momo and Co. Design,design,latin,business_type,business_type,high,"The extra content ""design"" describes the business type or service category that Momo and Co. provides, indicating it is a design-focused establishment.",1,keep_longer,keep_longer,1,False
descriptor,The Vineyard Church,The Vineyard Church Bloomington-Normal,bloomingtonnormal,latin,location,location,high,"The extra content ""bloomingtonnormal"" refers to the cities of Bloomington and Normal, which are geographic location qualifiers identifying where this church branch is situated.",1,keep_shorter,keep_shorter,1,False
descriptor,Full Steam,Full Steam Tromso,tromso,latin,location,location,high,"The extra content ""tromso"" is a Norwegian city name that serves as a geographic location qualifier to identify which ""Full Steam"" establishment is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,Poorvika Mobiles,Poorvika Mobiles Cuddalore - Opp to Bus Stand,cuddalore opp to bus stand,latin,noise,location,high,"The extra content ""cuddalore opp to bus stand"" contains both a city name (Cuddalore) and a physical location descriptor (opposite to bus stand), which are geographic qualifiers that pinpoint where this mobile phone store is situated rather than describing what type of business it is.",0,keep_shorter,keep_shorter,1,False
descriptor,Industria Pizzeria,Industria Pizzeria + Bar,bar,latin,business_type,business_type,high,"The extra content ""bar"" describes an additional service category or business type offered at this establishment, expanding on what kind of place Industria Pizzeria is beyond just a pizzeria.",1,keep_longer,keep_longer,1,False
descriptor,Black Mamba Barber Shop & Tatto,Black Mamba Barbershop & Tattoo | Nezahualcóyotl,black mamba barbershop tattoo nezahualcoyotl,latin,business_type,location,high,"The extra content includes ""nezahualcóyotl"", which is a city in Mexico State, making it a geographic location qualifier that identifies which branch of Black Mamba is being referenced.",0,keep_longer,keep_shorter,0,False
descriptor,Good Morning Children,Good Morning Children Limited,limited,latin,disambiguation,noise,high,"The extra content ""limited"" is a legal company designation (Ltd.) indicating corporate structure, which is standard boilerplate appended to business names and adds no semantic value about the actual nature or location of the establishment.",0,keep_shorter,keep_shorter,1,True
descriptor,Kip McGrath,Kip McGrath Hammersmith,hammersmith,latin,location,location,high,"The extra content ""hammersmith"" is a London neighborhood/location name that specifies which branch of this tutoring franchise is being referenced, making it a geographic qualifier.",1,keep_shorter,keep_shorter,1,False
descriptor,Volker Rentel GmbH,Volker Rentel GmbH Heizung- und Sanitärtechnik,heizung und sanitartechnik,latin,business_type,business_type,high,"The extra content ""heizung und sanitartechnik"" (heating and sanitary/plumbing technology) directly describes the type of business and services that Volker Rentel GmbH provides, making it essential descriptive information about what kind of establishment this is.",1,keep_longer,keep_longer,1,False
descriptor,Hanger Clinic,Hanger Clinic: Prosthetics & Orthotics,prosthetics orthotics,latin,business_type,business_type,high,"The extra content ""prosthetics orthotics"" describes the specific services and business type that Hanger Clinic provides, indicating what kind of medical/healthcare establishment it is.",1,keep_longer,keep_longer,1,False
descriptor,Esfiha Chic,Esfiha Chic - Vila Arcádia,vila arcadia,latin,location,location,high,"The extra content ""vila arcadia"" is a neighborhood or district name in Brazil, functioning as a geographic location qualifier to specify which Esfiha Chic establishment is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,Cerrajeria Lionel,Cerrajería Lionel Centrito,centrito,latin,location,location,medium,"The extra content ""centrito"" is a Spanish diminutive/colloquial reference to a downtown or central area location, functioning as a geographic qualifier to specify which branch of Cerrajería Lionel is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,The Fairways at San Marcos,The Fairways at San Marcos Apartments,apartments,latin,business_type,business_type,high,"The extra content ""apartments"" describes the business type or residential category of what ""The Fairways at San Marcos"" is, making it essential descriptive information about the nature of the establishment.",1,keep_longer,keep_longer,1,False
descriptor,UBS Vila Elvira,UBS Vila Elvira - São José Do Rio Preto,sao jose do rio preto,latin,location,location,high,"The extra content ""sao jose do rio preto"" is a city name in Brazil, functioning as a geographic location qualifier that specifies which state or municipality this UBS health clinic is located in.",1,keep_shorter,keep_shorter,1,False
descriptor,Elite Picture Framing,Elite Picture Framing Adelaide,adelaide,latin,location,location,high,"The extra content ""adelaide"" is a city name in Australia, functioning as a geographic location qualifier that identifies which branch or location of Elite Picture Framing is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,Aldak GmbH,ALDAK GmbH VIBRATIONSTECHNIK,vibrationstechnik,latin,business_type,business_type,high,"The extra content ""vibrationstechnik"" (vibration technology in German) describes the specific business type or technical specialty that ALDAK GmbH operates in, indicating what kind of engineering or manufacturing company it is.",1,keep_longer,keep_longer,1,False
descriptor,Centro Comunitário,Centro Comunitario Taiaçu,taiacu,latin,location,location,high,"The extra content ""taiacu"" is a geographic location name (a municipality in São Paulo state, Brazil) that specifies which community center is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,Dercole Pneumatici,Dercole Pneumatici Autofficina Castrol Service,autofficina castrol service,latin,business_type,business_type,high,"The extra content ""autofficina castrol service"" describes what type of business this is — an auto repair shop (autofficina) that provides Castrol service, which is essential business-type information about the establishment's services and affiliation.",1,keep_longer,keep_longer,1,False
descriptor,Hollyhock Hill,Hollyhock Hill Restaurant,restaurant,latin,business_type,business_type,high,"The extra content ""restaurant"" directly describes the business type or establishment category that Hollyhock Hill is, providing essential information about what kind of place this is.",1,keep_longer,keep_longer,1,False
descriptor,Management Factory Corporate Advisory GmbH,Management Factory Corporate Advisory GmbH - Valtus,valtus,latin,disambiguation,disambiguation,medium,"The extra content ""valtus"" appears to be a brand name, subsidiary, or organizational affiliation rather than a geographic location or business type descriptor, identifying a specific division or parallel entity within the corporate structure.",1,keep_shorter,keep_shorter,1,False
descriptor,Princeton Radiology,Princeton Radiology - Monroe,monroe,latin,location,location,high,"The extra content ""monroe"" is a geographic location qualifier identifying the specific city where this radiology practice is located.",1,keep_shorter,keep_shorter,1,False
descriptor,Carquest Auto Parts,Carquest Auto Parts - Jerry's Auto Parts,jerrys auto parts,latin,disambiguation,disambiguation,high,"The extra content ""jerrys auto parts"" identifies a specific franchisee or local business owner name operating under the Carquest brand, which is a franchise/organizational affiliation rather than a location or business type descriptor.",1,keep_shorter,keep_shorter,1,False
descriptor,Tempe Veterinary,Tempe Veterinary Hospital,hospital,latin,business_type,business_type,high,"The extra content ""hospital"" describes the specific type or category of veterinary establishment, clarifying that this is a full-service veterinary hospital rather than a clinic or other veterinary facility.",1,keep_longer,keep_longer,1,False
parenthetical,Atm,ATM (Post Office),post office,latin,disambiguation,location,medium,"The extra content ""post office"" specifies the organizational location or affiliation where this ATM is situated, indicating which institution operates or hosts this particular ATM rather than describing what type of business the ATM itself is.",0,keep_shorter,keep_shorter,1,False
parenthetical,Brooklyn Basketball Academy,Brooklyn Basketball Academy (BBA),bba,latin,disambiguation,noise,high,"The extra content ""bba"" is an acronym (abbreviation of the full name itself) that serves as listing boilerplate or shorthand notation without adding semantic value about the business type, location, or organizational affiliation.",0,keep_shorter,keep_shorter,1,False
descriptor,Master Mechanic,Master Mechanic Pickering,pickering,latin,location,location,high,"The extra content ""pickering"" is a city/town name that identifies the geographic location of this Master Mechanic franchise, serving as a location-based qualifier rather than describing the business type.",1,keep_shorter,keep_shorter,1,False
descriptor,Boost Mobile,Boost Mobile Local Moline,local moline,latin,location,location,high,"The extra content ""local moline"" is a geographic qualifier identifying the city (Moline) where this Boost Mobile location is situated, which is directory/listing boilerplate rather than essential business information.",1,keep_shorter,keep_shorter,1,False
descriptor,Cookie Cutters Haircuts for Kids,Cookie Cutters Haircuts for Kids - Beverly Hills,beverly hills,latin,location,location,high,"The extra content ""beverly hills"" is a geographic location qualifier identifying the specific city where this franchise location is situated, rather than describing the business type or organizational affiliation.",1,keep_shorter,keep_shorter,1,False
descriptor,Mail Boxes ETC.,Mail Boxes Etc. UK,uk,latin,location,location,high,"The extra content ""uk"" is a country designation that identifies the geographic location of this Mail Boxes Etc. franchise, serving as a location-based qualifier rather than describing the business type.",1,keep_shorter,keep_shorter,1,False
descriptor,Learn And Play Montessori School,Learn and Play Montessori School - Peralta,peralta,latin,location,location,high,"The extra content ""peralta"" is a geographic location qualifier identifying the specific area or neighborhood where this school is located, not describing what type of establishment it is.",1,keep_shorter,keep_shorter,1,False
parenthetical,Liceo Scientifico Isacco Newton,Liceo Scientifico Isacco Newton (succursale),succursale,latin,disambiguation,disambiguation,high,"The extra content ""succursale"" (branch/annex) identifies this as a secondary location or branch of the main school, marking it as an organizational/administrative designation rather than a business type or geographic place name.",1,keep_shorter,keep_shorter,1,False
descriptor,Prestige de Menton,Prestige de Menton - Eau de Menton,eau de menton,latin,location,business_type,medium,"The extra content ""eau de menton"" appears to be a product type or variant descriptor (eau de = water/fragrance formulation in French), indicating a specific product line or service category rather than a geographic location or organizational affiliation.",0,keep_shorter,keep_longer,0,False
descriptor,ImmoWert Hessen,ImmoWert Hessen Carsten Nessler Sachverständige für Immobilien,carsten nessler sachverstandige fur immobilien,latin,business_type,disambiguation,medium,"The extra content ""carsten nessler sachverstandige fur immobilien"" combines a personal name (Carsten Nessler) with a professional credential descriptor (""certified real estate appraiser""), which identifies the specific person and their professional qualification rather than describing the core business type or a geographic location.",0,keep_longer,keep_shorter,0,False
descriptor,United Promotions Inc,United Promotions Inc. Photo Lab,photo lab,latin,business_type,business_type,high,"The extra content ""photo lab"" describes the specific business type or service category that United Promotions Inc operates, identifying what kind of establishment it is.",1,keep_longer,keep_longer,1,False
descriptor,The Home Depot,The Home Depot México,mexico,latin,location,location,high,"The extra content ""mexico"" is a country name that specifies the geographic location of this Home Depot franchise, functioning as a location qualifier rather than describing the business type.",1,keep_shorter,keep_shorter,1,False
descriptor,APEC Hospital de la Ceguera,Apec Hospital De La Ceguera Azcapotzalco,azcapotzalco,latin,location,location,high,"The extra content ""azcapotzalco"" is a neighborhood/borough name in Mexico City, serving as a geographic location qualifier that specifies which branch of APEC Hospital de la Ceguera is being referenced.",1,keep_shorter,keep_shorter,1,False
