short_name,long_name,extra_content,reason,human_verified,contested
CHI Saint Joseph Medical Group,CHI Saint Joseph Medical Group - Primary Care,primary care,Extra content is service description or contextual elaboration,,
Culligan Water Conditioning,"Culligan Water Conditioning of Sturgis, MI",of sturgis mi,Extra content is service description or contextual elaboration,,
Wayne Cooley - COUNTRY Financial,Wayne Cooley - COUNTRY Financial representative,representative,Extra content is service description or contextual elaboration,,
Roper St. Francis Physician Partners,Roper St. Francis Physician Partners - Primary Care,primary care,Extra content is service description or contextual elaboration,,
Family Practice Associates of Orange Park,Family Practice Associates of Orange Park Fleming Island,fleming island,Extra content is service description or contextual elaboration,,
Igreja Batista Vale de Bênção,Igreja Batista Vale De Benção - Águas Claras,aguas claras,Extra content is service description or contextual elaboration,,
Marshalls plc (Marshalls Mono Ltd.),Marshalls plc (Marshalls Mono Ltd.) Sittingbourne,sittingbourne,Extra content is service description or contextual elaboration,,
JOE & THE JUICE,JOE & THE JUICE - Schifflände,schifflande,Extra content is service description or contextual elaboration,,
Village Medical,Village Medical at Walgreens,at walgreens,Extra content is service description or contextual elaboration,,
"Eric Cohen, MD","Eric Cohen, MD - ENT Doctor",ent doctor,Extra content is service description or contextual elaboration,,
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,Extra content is service description or contextual elaboration,,
KIDZ Pediatric Gastroenterology,KIDZ Pediatric Gastroenterology & Nutrition,nutrition,Extra content is service description or contextual elaboration,,
Casa de la Cultura,Casa de la Cultura Zapotlanejo,zapotlanejo,Extra content is service description or contextual elaboration,,
El Marlin,El marlin isla ixtapa,isla ixtapa,Extra content is service description or contextual elaboration,,
Combat Club,Combat Club - São Paulo,sao paulo,Extra content is service description or contextual elaboration,,
Presto! ATM,Presto! ATM at Publix®,at publix,Extra content is service description or contextual elaboration,,
Circo Rolex,Circo Rolex los Mochis,los mochis,Extra content is service description or contextual elaboration,,
Suspensiones México,Suspensiones México Semi Nuevo,semi nuevo,Extra content is service description or contextual elaboration,,
Servicio Condesa de Zacatecas,Servicio Condesa de Zacatecas Est. 13915,est 13915,Extra content is service description or contextual elaboration,,
PT. Bayu Maritim Berkah,PT. Bayu Maritim Berkah - Offshore,offshore,Extra content is service description or contextual elaboration,,
Elk River Medical,Elk River Medical Associates,associates,Extra content is service description or contextual elaboration,,
le buzz,Le Buzz Sportsbar,sportsbar,Extra content is service description or contextual elaboration,,
Auto Klinika d.o.o.,Auto Klinika doo Arandjelovac,arandjelovac,Extra content is service description or contextual elaboration,,
Die Goldschmiede,"Die Goldschmiede, Kaufmann",kaufmann,Extra content is service description or contextual elaboration,,
Ewald Scheler,Ewald Scheler Bohrfirma,bohrfirma,Extra content is service description or contextual elaboration,,
American Printing,American Printing Unlimited,unlimited,Extra content is service description or contextual elaboration,,
Andy Allain - Thrivent,Andy Allain - Thrivent Financial,financial,Extra content is service description or contextual elaboration,,
La gran carpa,La Gran Carpa del Chavo,del chavo,Extra content is service description or contextual elaboration,,
Sai Ram Tiffins,Sai Ram Tiffins and Meals,and meals,Extra content is service description or contextual elaboration,,
Sulminas Viagens,Sulminas Viagens e Turismo,e turismo,Extra content is service description or contextual elaboration,,
Management Factory Corporate Advisory GmbH,Management Factory Corporate Advisory GmbH - Valtus,valtus,Extra content is service description or contextual elaboration,,
Poradnia Medycyny Pracy,"Poradnia Medycyny Pracy ""Jeżyce""",jezyce,Extra content is service description or contextual elaboration,,
Parrocchia San Francesco di Paola,"Parrocchia San Francesco di Paola ""SanFra""",sanfra,Extra content is service description or contextual elaboration,,
En Vogue,EN VOGUE Coiffure,coiffure,Extra content is service description or contextual elaboration,,
Rocky Hill,Rocky Hill Mountain,mountain,Extra content is service description or contextual elaboration,,
Colegio Madrid,Colegio Madrid Talleres,talleres,Extra content is service description or contextual elaboration,,
La Riviera,La Riviera Oficinas,oficinas,Extra content is service description or contextual elaboration,,
Work Medicina Ocupacional,Work Medicina Ocupacional S/C Ltda,sc ltda,Slash/pipe delimiter — parallel brand or franchise name,,
Cascade Shores Townhome,Cascade Shores Townhomes & Flats,s flats,Extra content is service description or contextual elaboration,,
Over The Rainbow,Over the Rainbow Limited,limited,Extra content is service description or contextual elaboration,,
Good Morning Children,Good Morning Children Limited,limited,Extra content is service description or contextual elaboration,,
COINworKs Bitcoin ATM,COINworKs Bitcoin ATM Modesto,modesto,Extra content is service description or contextual elaboration,,
Safety Kleen,Safety-Kleen Systems,safetykleen systems,Extra content is service description or contextual elaboration,,
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,Extra content is service description or contextual elaboration,,
Auto Solutions,Auto Solutions Orlando,orlando,Extra content is service description or contextual elaboration,,
Pollo Feliz,Pollo Feliz Obregón,obregon,Extra content is service description or contextual elaboration,,
Instituto Magister de Ensino,Instituto Magister de Ensino Sala 05,sala 05,Extra content is service description or contextual elaboration,,
Hospital São Domingos,Hospital São Domingos- Exames,exames,Extra content is service description or contextual elaboration,,
Alimentare - Massas e Congelados,Alimentare Massas e Congelados Especiais,especiais,Extra content is service description or contextual elaboration,,
Ponto Xis,Ponto Xis Lanches,lanches,Extra content is service description or contextual elaboration,,
Huffines Kia McKinney,Huffines Kia McKinney Service,service,Extra content is service description or contextual elaboration,,
Sunrise Financial,Sunrise Financial Service,service,Extra content is service description or contextual elaboration,,
Communauté De Communes De Lacq-orthez,Communauté de communes de Lacq Orthez - CCLO,communaute de communes de lacq orthez cclo,Extra content is service description or contextual elaboration,,
Uluer Genç Yaşam Merkezi,Uluer Genç Yaşam Merkezi Kuaför,kuafor,Extra content is service description or contextual elaboration,,
Middleburg High School,Middleburg High School NJROTC,njrotc,Extra content is service description or contextual elaboration,,
Centauro Automotriz,Centauro Automotriz Matriz,matriz,Extra content is service description or contextual elaboration,,
Tiendas 3B,Tiendas 3B Centro,centro,Extra content is service description or contextual elaboration,,
Dr. Ramón Salgado,Dr. Ramón Salgado Medina,medina,Extra content is service description or contextual elaboration,,
Instituto Andes,Instituto Andes Tuxtla,tuxtla,Extra content is service description or contextual elaboration,,
FIBRA Experts,Fibra Experts - Meet,meet,Extra content is service description or contextual elaboration,,
Svensk Fastighetsförmedling,Svensk Fastighetsförmedling Eslöv,eslov,Extra content is service description or contextual elaboration,,
Forst und Garten,Forst und Garten Diehl,diehl,Extra content is service description or contextual elaboration,,
Praxis für Logopädie und Lerntherapie,Praxis für Logopädie und Lerntherapie B & B,b b,Extra content is service description or contextual elaboration,,
Pro Car Wash South,Pro Car Wash South/North,north,Extra content is service description or contextual elaboration,,
English Rows Dental,English Rows Dental Group,group,Extra content is service description or contextual elaboration,,
Murphy USA,Murphy USA #6583,6583,Extra content is service description or contextual elaboration,,
Juris Law Group,"Juris Law Group, P.C.",pc,Extra content is service description or contextual elaboration,,
Junior Bruins Hockey,Junior Bruins Hockey Camps,camps,Extra content is service description or contextual elaboration,,
Hamilton Ruritan Club,Hamilton Ruritan Club #1646,1646,Extra content is service description or contextual elaboration,,
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,Extra content is service description or contextual elaboration,,
Olina Küchen,olina-Küchen Linz,olinakuchen linz,Extra content is service description or contextual elaboration,,
The UPS Store,The UPS Store 6285,6285,Extra content is service description or contextual elaboration,,
University of Minnesota Medical Center,University of Minnesota Medical Center NICU,nicu,Extra content is service description or contextual elaboration,,
The UPS Store,The UPS Store 7313,7313,Extra content is service description or contextual elaboration,,
Marathon Gas,Marathon Gas & DQ,dq,Extra content is service description or contextual elaboration,,
Water Valley Housing Auth,Water Valley Housing Authority,ority,Extra content is service description or contextual elaboration,,
Tammy Medlin,"Tammy Medlin, FNP",fnp,Extra content is service description or contextual elaboration,,
Bonanza Cafe,Bonanza Cafe&Rest,rest,Extra content is service description or contextual elaboration,,
Villa Sofia,Villa Sofia b&b,bb,Extra content is service description or contextual elaboration,,
Smoker Friendly Discount Tobacco,Smoker Friendly Discount Tobacco #27,27,Extra content is service description or contextual elaboration,,
Colby Dodge Chrysler Jeep,Colby Dodge Chrysler Jeep Ram,ram,Extra content is service description or contextual elaboration,,
Survive Alive House,Survive Alive House MFD,mfd,Extra content is service description or contextual elaboration,,
Kaiser Permanente,Kaiser Permanente DME,dme,Extra content is service description or contextual elaboration,,
Oh My Goodness,Oh My Goodness OMG,omg,Extra content is service description or contextual elaboration,,
La Taquiza de Mario,La Taquiza de Mario #2,2,Extra content is service description or contextual elaboration,,
Le Salonce,Le salonce #2,2,Extra content is service description or contextual elaboration,,
Farmacia Città Satellite,Farmacia Città Satellite 2,2,Extra content is service description or contextual elaboration,,
Atm,ATM (Post Office),post office,Extra content is service description or contextual elaboration,,
Atm,ATM (Post Office),post office,Extra content is service description or contextual elaboration,,
Atm,ATM (Post Office),post office,Extra content is service description or contextual elaboration,,
Liceo Scientifico Isacco Newton,Liceo Scientifico Isacco Newton (succursale),succursale,Operational note or branch type in parentheses,,
Sídliště Libuš,Sídliště Libuš (bus),bus,Short acronym/code in parentheses,,
Vitality Integrated Programs,Vitality Integrated Programs (VIP),vip,Acronym/initialism in parentheses,,
Brooklyn Basketball Academy,Brooklyn Basketball Academy (BBA),bba,Acronym/initialism in parentheses,,
Marine Corps Exchange,Marine Corps Exchange (MCX),mcx,Acronym/initialism in parentheses,,
Centro de Estaca,Centro de Estaca (SUD),sud,Acronym/initialism in parentheses,,
Makmal Kesihatan Awam,Makmal Kesihatan Awam (MKA),mka,Acronym/initialism in parentheses,,
Centro Médico Integrado,Centro Médico Integrado (CMI),cmi,Acronym/initialism in parentheses,,
Liceo De Hombres,Liceo De Hombres (LAM),lam,Acronym/initialism in parentheses,,
CIBC,CIBC Branch (Cash at ATM only),branch cash at atm only,Operational note or branch type in parentheses,,
